Participant Right_Eye_Deviation_X Right_Eye_Deviation_Y Tracking_Ratio_Perc
441138313 0.9 2.7 64.3
301499663 0.3 1.1 84.9
590966039 1.2 0.7 95.6
604677065 1.1 0.3 95.6
590966039 0.7 0.9 60.9
355497552 1 0.4 95.2
372793729 0.7 0.5 83.6
590966039 0.4 0.7 95.6
301499663 1.5 0.5 70.5
244334030 0.3 0.7 74.9
267292794 0.9 0.4 95.6
509720365 0.3 1 85.3
244334030 0.5 0.4 60.7
983068448 1.1 1.1 64.8
726684678 0.5 1.1 95.6
104633806 0.6 0.8 95.6
355497552 1.5 1 74.6
355497552 0.7 0.9 95.5
301499663 1.5 0.7 95.6
509720365 1 0.5 68.2
843595262 4.2 0.9 95.6
494361843 1.1 0.6 86.5
223902830 0.6 0.5 67.6
