Experiment Participant_ID Condition Trial Zone_Name Response Word_Count Correct_Points Element_Number Commission Omission
1 1036175 DiagramFeedback Beton DiagBox1 "CNhGfb YAYdr u4C8 RY0R R1g vdLP BfbWYY sLq tcn Mp5dM" 10 1 5 0 0
1 1036175 DiagramFeedback Beton DiagBox2 "EcPWAZ T6Lpy FCH VY5KDW ueqm o5yvu Wtx7cA fHV zeQs3y Y6KD3 iI5I vPc" 12 1 3 0 0
1 1036175 DiagramFeedback Beton DiagBox3 "mBk1 407m YeZh MSg 9Uwu SA7 5b61sB mL07e ZP7qi SxWr BkSfa" 11 1 2 0 0
1 1036175 DiagramFeedback Beton DiagBox4 "8R0 N3YLY EP7Z BqgcnT UAdIsE scsSFr aOur8v 2r9lq cyKCS hdA 8tq cSlC Tizw o2Nt" 14 1 4 1 0
1 1036175 DiagramFeedback Botox DiagBox1 "mZLVJ oXGR fRL tQFoT uX0XM DmTpo bVaQYq Bv3vT 2LBui ItF hpOTwH QF8 KsD" 13 0 NA 1 0
1 1036175 DiagramFeedback Botox DiagBox2 "9gIwG qIu 4MJcnu 2JF Nhsps dT2" 6 1 2 0 0
1 1036175 DiagramFeedback Botox DiagBox3 "lnVSit 34O MZrY nhdq M4hgJ 5TEq HD0ml lA7 6iOotz katzN jtXp1V 3t7B" 12 1 NA 1 0
1 1036175 DiagramFeedback Botox DiagBox4 "AML8 HS4 AYc3E qank 1SEh NG0 385Op kg9 RXXWH3 XUcB" 10 0 NA 0 0
1 1036175 DiagramFeedback Geld DiagBox1 "GClxV Spa0f GNtmT" 3 1 2 1 0
1 1036175 DiagramFeedback Geld DiagBox2 "QLiV zcL1C Sc1RHS rb7br2 q8V0Z7 SJ7DDD" 6 1 3 0 0
1 1036175 DiagramFeedback Geld DiagBox3 ? 0 0 NA 0 1
1 1036175 DiagramFeedback Geld DiagBox4 "fJt3 oQSgh edV2 aAD 4jd RQwmT rH0Mr nCeZ2w 2t6 uRE 1KEra4 rodJN fSz ui6XD 8hfnb 7iLC jIC62Y RMzkKX NCqQnQ" 19 1 3 0 1
1 1036175 DiagramFeedback Metro DiagBox1 "cG7o8f PaXT0y o7Vf4 fPU gIMVV 1y2QD ei3B" 7 1 4 1 0
1 1036175 DiagramFeedback Metro DiagBox2 "489izm NAUA8 A2ZZs 3Fw baOKp X814 D4mef ew9tFI zK7v v7e0 kA2" 11 1 5 0 0
1 1036175 DiagramFeedback Metro DiagBox3 "75j4 ToJ HKVhP 54et y63FY" 5 2 5 0 0
1 1036175 DiagramFeedback Metro DiagBox4 "Y7F35H 5Nm 0lL FQ2Z JV9 EkTR LKN1 CPN5Z T7kej i6xy HwpCpb" 11 1 1 1 0
1 1036175 DiagramFeedback Muziek DiagBox1 "wXre RSX 8Cf yRoeb gQZAJR" 5 1 3 0 0
1 1036175 DiagramFeedback Muziek DiagBox2 "ANw LDv3S oL3Xu cI4 URxd VN9 c85Tl 6viy" 8 1 3 0 0
1 1036175 DiagramFeedback Muziek DiagBox3 "To4 zNAY 6Yd 7JCtrs q9Kzy FGh mLj GJo bQx" 9 0 2 0 0
1 1036175 DiagramFeedback Muziek DiagBox4 ? 0 0 NA 0 1
1 1036175 DiagramFeedback Suez DiagBox1 "z0qRLn toEvE5 Rai 3DmWI eOyet Gs3xP rac sT1aX LeD" 9 1 3 0 0
1 1036175 DiagramFeedback Suez DiagBox2 "RxC8YV d2nE yPU4 Zel RVrhJK S0j K1a QFx3 WAj" 9 1 4 0 0
1 1036175 DiagramFeedback Suez DiagBox3 ? 0 0 NA 0 1
1 1036175 DiagramFeedback Suez DiagBox4 "Xs9Cu fcMTA Spv fw9 Ba1Q OmmO40 xArzA TOU PqF7f s7tTyc KBn" 11 0 NA 0 0
1 1052806 DiagramFeedback Beton DiagBox1 "dyQG 5mc1 hLGM bzP 3npnr xUiVuI fzEq65 FBW Y2dBy2 YoA AMFqi fo4yiO qb6IZ" 13 0 4 0 0
1 1052806 DiagramFeedback Beton DiagBox2 "W5Yn1 brxe HMp7WX Gy8dS EeIOzV hdYr muH5Dn" 7 1 2 0 0
1 1052806 DiagramFeedback Beton DiagBox3 "J6DoX MOb 3Q6VhU GpaS" 4 2 1 1 0
1 1052806 DiagramFeedback Beton DiagBox4 ? 0 0 NA 0 1
1 1052806 DiagramFeedback Botox DiagBox1 "lwV2zF zrWGS zFaC FQJX y9P" 5 1 5 0 0
1 1052806 DiagramFeedback Botox DiagBox2 "KyjkzY pV7B5 lZZA fODs kAyHX uifZW HrfQ9i XJ1XJ 2E8EMW jXGvU mgL" 11 1 NA 0 0
1 1052806 DiagramFeedback Botox DiagBox3 "UMF DavQ0 h6P962 lh6fh N5C" 5 0 4 0 0
1 1052806 DiagramFeedback Botox DiagBox4 "6z86s Z3v XBZYk rVsn3" 4 2 1 1 1
1 1052806 DiagramFeedback Geld DiagBox1 "Ee4Qad J7TSaB 2qMjZ N2O AXnW gIR 3nV7 vBmR wUut 2KPw4" 10 1 NA 0 0
1 1052806 DiagramFeedback Geld DiagBox2 "r3xfD 25Jf DlfGg5 7sVimy WIanxt 2NEB Yi2n QgC 3iY2" 9 1 4 0 0
1 1052806 DiagramFeedback Geld DiagBox3 "Rlg a4m QpnO" 3 1 4 0 0
1 1052806 DiagramFeedback Geld DiagBox4 "Zfqb DO2 0a0zB hujbUd 69Dsco D0Q W9powQ AFnbN4 50lWG6" 9 0 NA 0 0
1 1052806 DiagramFeedback Metro DiagBox1 "Kvqp 9Se HVBgpL 3PLsBI B2uD 35Hl xVnTgy kkQ pATQj Yzy6ur 1VHky 2XGSb Sibpg ofEDKN bUz uuP U2fa P5xu9n uvf9T WXQ Kgx9 4UM3Bs" 22 1 5 0 0
1 1052806 DiagramFeedback Metro DiagBox2 "f5Zw IJ4r" 2 1 3 0 0
1 1052806 DiagramFeedback Metro DiagBox3 "0U73 u3y 9mvs cyO8pS G9fH7 xKid 1rkk oB6 0Wtg bARF e076Xx GdU J2y83P" 13 1 1 0 0
1 1052806 DiagramFeedback Metro DiagBox4 "4wFVjW FXg EOW GQOGK4 yJNx SiN2FE tRvDUB KhXFjz Vi2z p0f4" 10 0 1&2 0 0
1 1052806 DiagramFeedback Muziek DiagBox1 "1uT97N eWf 8gY yBLU IWEUy HiJ744" 6 0 NA 0 0
1 1052806 DiagramFeedback Muziek DiagBox2 "EcTCB 0KFO 4MCexJ N08E yGYhd5 Qym Yb1F9c HMb yG5H PTUDd" 10 1 4 1 0
1 1052806 DiagramFeedback Muziek DiagBox3 "8bbLcA ueJchp FFbW SxKEYw MStt llil FG2pNO KBq2w nrOq qTO 3FT7t vgM7 d7yI iU9jEx jbAZ ZvU" 16 1 NA 0 0
1 1052806 DiagramFeedback Muziek DiagBox4 "JxS qM89 63c07 zwDuc caP25T noGzs PP7I Kwgem6 hlV 4jtl UCV2" 11 1 1 0 0
1 1052806 DiagramFeedback Suez DiagBox1 "276HB WTCd Gz76Ul gmDnz fuhL pLa9" 6 0 NA 1 0
1 1052806 DiagramFeedback Suez DiagBox2 "8vtrUC EpZv 7KLtVw hFPir ZBH SBL0 ulRPur XdaO 8A0Rq6 ku0Sql SfxbZ OQNP M6ditg vO6HhM" 14 1 5 1 0
1 1052806 DiagramFeedback Suez DiagBox3 "UdLZ FYNdW rBk 1y2 ZSoF zF9O UX1hsP 0Qz2H8" 8 1 2 0 0
1 1052806 DiagramFeedback Suez DiagBox4 "cO0G CTy tg14T 1pm Q5t" 5 1 2 1 1
1 1069484 DiagramFeedback Beton DiagBox1 "n1dH k3G 7VE6q y8K QZaz LErWEz j5Pjn 6YTY tIcJn6 dq0sur YTeX aOO oOQc5f HUGr iZo1u0 tvhq5 fyIgjl yVNR 1kzsSl oxt j4GDCA" 21 0 NA 0 0
1 1069484 DiagramFeedback Beton DiagBox2 "Z3jQT xFoiP OJvDc fh1J q6UPl S8SJVm GgxhD WGX vwo n6Bc Spf N8wa7 5Vt upL" 14 1 3 0 0
