No. Proefpersoon Instructie_Code Segmenten Codes_Sophia Codes_Marloes Word_Count
1 P01 (1a) "DQvcy euXx aspXS BND4 nJGC nhFyV 6kq7WO UfP w308F 58E qWJB rmCz" 1 1 12
2 P01 (1a) "cGI4D 2og wmZM 4hz SALQ8s KIcrz" 8c 8c 6
3 P01 (1a) "OnxN JXg FXU6 t9A4 G7jFMl EtN 3v1dm 7efK0Y" 8a 8a 8
4 P01 (1a) "fxThT 51AaL iGrQOD EqF ShgC K8KV 2RFew UznLVg sA7Ucj xyNI9 7r04 3xAC hzUJDw rl2V 4Nh1A 4hz" 8a 8a 16
5 P01 (1a) "TocD cxj wEW 9Ts CCW nSn W63Alh YwDUCR tnnKQz 8XPtc 5xNLsd D0Ra" 10 10 12
6 P01 (1a) "a4VywW PPT doxhN 1tfQ Qz1 YzH B5uew jXi23 be7mjr mXrHI HdCf 7JpMeQ 9LA 8UVWkx FL45iy" 9 9 15
7 P01 (1a) "CFu66 IzzUxK 7aP uuG rMXEDM Ml8MaF" 8b 8b 6
8 P01 (1a) "A05PR Iuw hoiBL mrBZ6D CW4Yie WUHe 0A9aN8 ygM8I iwhYY WkiCD XKhJdc OHE 8kxyIw gRVm 2fBhki K0UNEg 19i 2MDdB tTM xfD 70Xnih JozF2b" 9 9 22
9 P01 (1a) "CNR SRdO" 1 1 2
10 P01 (1a) "5JBLu kQq 990Gr kpHSJ r5e j7M7 0Cs5d THzT" 8c 8c 8
11 P01 (1a) "1fCLw aIu zFX Xh5b BzwywS r95IGm 16bc 1g6 53Vx t0VZ ctlX Ygk1sj Y4U" 8a 8a 13
12 P01 (1a) "NHk XJbj fzl 4AkY1 lum4 FTI neZYjx ucjPvt CYca R7K D1UTM" 8b 8b 11
13 P01 (1a) "hu8Qy VAaC gK552B LEJ Pou4" 8a 8a 5
14 P01 (1a) "EbvSXz m1BLc daYU Iw0i3b VJbC" 9 9 5
15 P01 (1a) "Fsx 3Kt9 3iY9cA fiy9V9" 8c 8c 4
16 P01 (1a) "cS4Cu urF5s Xr3Un3 rE3Q2 AfBV" 15 3 5
17 P01 (1b) "4uTCTl FF6oD L0J 8GPH vj2 sEf3S Kv6Z" 13b 13b 7
18 P01 (1b) "61RS 3Kwsd GvU2B dFvR9O 6gULH 1qMp YJh iulDQ1" 14 14 8
19 P01 (1b) "tz2h zc9q0 V2sREM ueSDgk 9P1I2 R2wL tPe BoKS a1nkbW" 15 15 9
20 P01 (1b) "kjU XIc qiC dhX5s HzV2 ijV byFWw" 15 15 7
21 P01 (1b) "mQq zX6h Q6c gKL XjW qJV fKE IsPd xCQ0g QSvc 0yh Jw6 Q2Q LOYo lRBM X424H" 8b 8b 16
