Proefpersoon Instructie_Code Segmenten_Sophia Perspective_Sophia Perspective_Jael Segmenten_Jael
Transcript_P03 1a "uP0Iz gwWLJ imIu Qx0x eB2Hh0 ynkmBD qDnQf OlbxT4 YIBo" y y "uP0Iz gwWLJ imIu Qx0x eB2Hh0 ynkmBD qDnQf OlbxT4 YIBo"
Transcript_P03 1a "GWcYA yTBCC mTM irLr pLWQ6 1yEpEc fRrf nTn2vA wTdh BppTAO TuYJ" y y "GWcYA yTBCC mTM irLr pLWQ6 1yEpEc fRrf nTn2vA wTdh BppTAO TuYJ"
Transcript_P03 1a "NSd9C 9ao 3Fw ZKzqLu jRTO1H Hqn p1WP 6y7" y y "NSd9C 9ao 3Fw ZKzqLu jRTO1H Hqn p1WP 6y7"
Transcript_P03 1a "mePG foIO oBme mUaVVz RVR 71I5na kIM Muzg XtSr 1h4h" y y "mePG foIO oBme mUaVVz RVR 71I5na kIM Muzg XtSr 1h4h"
Transcript_P03 1a "zN7O1l JsnGIa 93pqG xbI lxlh" n fill-up-for-keeping-same-rows NA
Transcript_P03 1a "iTx V2x DCR GMtSsv 2gbi0 itb" y y "iTx V2x DCR GMtSsv 2gbi0 itb"
Transcript_P03 1a "ALd0 V1L oxzt0 mQ7 kso tOwc dXHL NFKB t9VO zHtj Sxr2Fm VG0" y y "ALd0 V1L oxzt0 mQ7 kso tOwc dXHL NFKB t9VO zHtj Sxr2Fm VG0"
Transcript_P03 1a "XmjNR TpPH amR 73s EOD 4z7NU eU7F rDy" y y "XmjNR TpPH amR 73s EOD 4z7NU eU7F rDy"
Transcript_P03 1a "eyg sNORKW wPzu1 3O1m wc9 rvK FhpB Wpd EGO 3jHf bJd4 5YSy 912 VxTZ Hsv dZWAp gqfNt" y y "eyg sNORKW wPzu1 3O1m wc9 rvK FhpB Wpd EGO 3jHf bJd4 5YSy 912 VxTZ Hsv dZWAp gqfNt"
Transcript_P03 1a "9syYgw AYz XB3G YfBC2 HNn 5wj4e Cnj0Ha ZytZ2m WrlO 3gUAr ZxAN RHBvD 1e4xh 2PwCO AyoMQ t9Uv 8y9Kt RqyqR q4Hi v1SaeF 3T3" y y "9syYgw AYz XB3G YfBC2 HNn 5wj4e Cnj0Ha ZytZ2m WrlO 3gUAr ZxAN RHBvD 1e4xh 2PwCO AyoMQ t9Uv 8y9Kt RqyqR q4Hi v1SaeF 3T3"
Transcript_P03 1a "2K54C5 HlluU cilY 02JAj xMTa F6Fu56 cGuT i4WepU 24fx PFdN f5NFFz hs7O 6MF1" y y "2K54C5 HlluU cilY 02JAj xMTa F6Fu56 cGuT i4WepU 24fx PFdN f5NFFz hs7O 6MF1"
Transcript_P03 1a "QY1e xPJAKa 21ho7 ZUz d0OrtN UBOm geUtk 9SvC thM okxaC zWYXd lZxis 9I9iFT 2Zp LsLU bF0W MCq u4GRMO 10uH" y y "QY1e xPJAKa 21ho7 ZUz d0OrtN UBOm geUtk 9SvC thM okxaC zWYXd lZxis 9I9iFT 2Zp LsLU bF0W MCq u4GRMO 10uH"
Transcript_P03 1a "cYz QbJIw VeYf 3Kxihi 4DqWh 9qS PhD cr1 7cK DhS3a4 cmw dxpX YdBlo J9X YAA PcT a8d1f mdt3e eNhaWQ jdY" y y "cYz QbJIw VeYf 3Kxihi 4DqWh 9qS PhD cr1 7cK DhS3a4 cmw dxpX YdBlo J9X YAA PcT a8d1f mdt3e eNhaWQ jdY"
Transcript_P03 1a "2a2 WZWz CVHXV Gnk0Q 16a oGC ZrC 1YM v6R" y y "2a2 WZWz CVHXV Gnk0Q 16a oGC ZrC 1YM v6R"
Transcript_P03 1a "oglNfQ taK5a KtOvy IeaSlt lsA" y y "oglNfQ taK5a KtOvy IeaSlt lsA"
Transcript_P03 1a "LZUJ xdO7U srNPaH euj3 RAfx2 RdDNUZ o09GG 63O vxkqka R5oPJ" y y "LZUJ xdO7U srNPaH euj3 RAfx2 RdDNUZ o09GG 63O vxkqka R5oPJ"
Transcript_P03 1a "XsHDT cNQn m9JK Wyl LvQ1n 6y4x tsA7M Fnifnv ecLhY1 qXdkB0 ZsP VRl zLJdw bqVX" y y "XsHDT cNQn m9JK Wyl LvQ1n 6y4x tsA7M Fnifnv ecLhY1 qXdkB0 ZsP VRl zLJdw bqVX"
Transcript_P03 1a "NzF4o kIhj PuhB13 jG7aI Q1kG7 iOJM g1Z2B fIaWP vaf VyV enKi KrPxZ" y y "NzF4o kIhj PuhB13 jG7aI Q1kG7 iOJM g1Z2B fIaWP vaf VyV enKi KrPxZ"
Transcript_P03 1a "NyuQ8 raO LD3Go KvyKw wLeCL TWJ5mt IT7Jn5" y y "NyuQ8 raO LD3Go KvyKw wLeCL TWJ5mt IT7Jn5"
Transcript_P03 1a "najLw 9bB0Y ST59 jTO rUDN bRMm Jil xVd 5OzG5o" y y "najLw 9bB0Y ST59 jTO rUDN bRMm Jil xVd 5OzG5o"
Transcript_P03 1a "b0HE qzZG KEaQ7 Qhaem Gfw4I kEaw d2K EiZSBT MLz" y y "b0HE qzZG KEaQ7 Qhaem Gfw4I kEaw d2K EiZSBT MLz"
Transcript_P03 1b "TPM8DI Vwx21G DdSh 6D1N aWY HLqKs fkHKm 2Xd2D" y y "TPM8DI Vwx21G DdSh 6D1N aWY HLqKs fkHKm 2Xd2D"
Transcript_P03 1b "qUAM CpQ GM6rh 8EZ9nA 3Fdym 4Vw3dR V7uQ uCBg QNwkq oD9 IfST5 Z92ec" y y "qUAM CpQ GM6rh 8EZ9nA 3Fdym 4Vw3dR V7uQ uCBg QNwkq oD9 IfST5 Z92ec"
Transcript_P03 1b "auS8K ACv6wJ CLOt jPno pA4x9 I73JUN 6tLppL azY cCQ22 3nGV9d ZEC mhAQ A4ZHy 4oU imYio" y y "auS8K ACv6wJ CLOt jPno pA4x9 I73JUN 6tLppL azY cCQ22 3nGV9d ZEC mhAQ A4ZHy 4oU imYio"
Transcript_P03 1b "STFm oiNG 0ML tBKWC UpR J3fc1" y y "STFm oiNG 0ML tBKWC UpR J3fc1"
Transcript_P03 1b "ONamT sPy2Vp UomF SnIFmv AAbeiz kFKbxw 2tdBH" y y "ONamT sPy2Vp UomF SnIFmv AAbeiz kFKbxw 2tdBH"
Transcript_P03 1b "905 1lkyv YA19C Ytq3a CYcbpd WoHv x497 AXsE XCERWm k4n" y y "905 1lkyv YA19C Ytq3a CYcbpd WoHv x497 AXsE XCERWm k4n"
Transcript_P03 1c "ML6b 5wt4he Bi5ZNx DRU i46zO ClBY5 JYinK0 biKl0 Q5Th 2BJ zsv9 haKxL 3BD8fP qvQM1C Fy3 DywS" y y "ML6b 5wt4he Bi5ZNx DRU i46zO ClBY5 JYinK0 biKl0 Q5Th 2BJ zsv9 haKxL 3BD8fP qvQM1C Fy3 DywS"
Transcript_P03 1c "TP96 siuP4S fqBp HftB wbu Bcjm qnmG TlB pWzR" y y "TP96 siuP4S fqBp HftB wbu Bcjm qnmG TlB pWzR"
Transcript_P03 1c "6uad FoI R7PirH ikVv uRT xuzUcP FZ0H 7Nm" y y "6uad FoI R7PirH ikVv uRT xuzUcP FZ0H 7Nm"
Transcript_P03 1c "2Cz i4lz uBII NL6aXP zxBS 7bytd gCiug CERyJk eRE hH0s" y y "2Cz i4lz uBII NL6aXP zxBS 7bytd gCiug CERyJk eRE hH0s"
Transcript_P03 1c "0RKTti Dc5VBU hoEufc zyj VadZj hvvbHC KzE7t FZuO IK3 3eSi hVLE MqU Yyy6Oy TfXcO1 M7dc9 0vM 3pZvy" n n "emFV6K ZU8om CqecXV GOH ItDS jhCrFH nSwe5U 74aQ rXrX4 5PsT HS5 UQ0 Hrm oEk3QC Hdc W8k 5g68V"
Transcript_P03 1c "EQdAs Av3jj DbnZ Me5Xq Bjlnoi oWWO dej Tgr rcCd4K" y y "EQdAs Av3jj DbnZ Me5Xq Bjlnoi oWWO dej Tgr rcCd4K"
Transcript_P03 1c "sYBL hJa4 GjahK 37K CVytk t7t1Gj jGy lo1 PVnQIm XPT tHwM 2AEZ r7nS OYDzhA qYU EjGd 0i6Dm ru5Je Fn66LW OOi30 CFo PMtGAF t0TuY0" n n "5zapR ziFqP jrKbp OJT MeFR hAhDU X49 HT8 Mb1 OvR UrKm QtgM Av3gJ p1gEW XNRca"
Transcript_P03 1c "MU1Ci4 Xc0EXK Mgx 9aD NrG 76NDyw 0nMQZ d1Jro STAnW LId0" y y "MU1Ci4 Xc0EXK Mgx 9aD NrG 76NDyw 0nMQZ d1Jro STAnW LId0"
Transcript_P03 1c NA fill-up-for-keeping-same-rows n "bbiL M7wl iwQEr 0Uxet SB7 DTol9"
Transcript_P03 1c "NXVR 2k4 PdPZo Y0yd WbbM Kyw WaOkn dNYH GVHm" y y "NXVR 2k4 PdPZo Y0yd WbbM Kyw WaOkn dNYH GVHm"
Transcript_P03 2a "qAsb At2oH5 mSEl ygTRDx wgJ33d M55R YWboz2 YPH aGq" y y "qAsb At2oH5 mSEl ygTRDx wgJ33d M55R YWboz2 YPH aGq"
Transcript_P03 2a "anJv KkKDn WvxLF fhPal GraY Gop YurVO pq9JM" y y "anJv KkKDn WvxLF fhPal GraY Gop YurVO pq9JM"
Transcript_P03 2a "9KiX VFVp9p Opkt 9SuHDI HlQY Qja KgbgmA z99c VZ4 JIw7y2 dfAko GPWwS dZF0M slXvh ZnnW8 MHe fsXCwm YnLX N46cd RFke q56aXK" n n "lzg Zuj 0h5 VthN gbp7yJ AbcT HeXcEB TQvM 6qFE5 by4ba KDOAU qIi2JH cN4A yiyu oAqrY 9BP JdJu azAjq kay MqW7j 8x5 ImcU42 dVHGUb fA4J 8vjEzX gIVuJ Psu"
Transcript_P03 2a "aPm nVE SI7S2C MbfG 5QX WEYsd KyReGC vwb8ML Wuls lIOz H2h 5tLqT 49F VyvDNi" y y "aPm nVE SI7S2C MbfG 5QX WEYsd KyReGC vwb8ML Wuls lIOz H2h 5tLqT 49F VyvDNi"
Transcript_P03 2a "AcE nWco eDD4 zt6MRJ MABrWr qNiBit gMo OXHa PJ4" y y "AcE nWco eDD4 zt6MRJ MABrWr qNiBit gMo OXHa PJ4"
Transcript_P03 2a "ijZ NibJp rsF A34Sj IaIG tQni j1WvY TxxZO L14U5 7jBlS6 nt7IN ZouZ XIkSZy ZFh9 Vbs hMC X8Ka E3KEC iTm12 gOcw Czg xZVF" n n "xQwwlV hjSych anqf DB7 SVPnU 7Z0yT"
