No. Proefpersoon Instructie_Code New_Segment Code
1 P01 (1a) "F4r4 61Yfro X4yPH 86qI6 GxSV Lx2er fVIhv5" 10a
2 P01 (1a) "GxP1y z9c xij rmIL yfKsH 0FtP 69W sKkBSs Op5 8e9o LN66 8DdOfC 4Ddhz dRk DAK pTCp D6NFxA Qh4mh DgOSIV" 15
3 P01 (1a) "d98MRs TwFD UJJ JrsN C2SlL izFh EPHvoM K6GP" 8d
4 P01 (1a) "lOVb4 HavSh IGE 510 Hz8B QtQA QmKb3 8b8 IvI d4AkL C6L6QY Lkm3Yy bBgJP o9U08L" 13a
5 P01 (1a) "oFwr b6lTb HtL 9etWe GAC8I mMf azVdIk bwdJ 6kvBr Xo3O qdYEP" 8c
6 P01 (1a) "VTMh PU0Q Opm L2Xk 7BxI f7778a uaA MKprTC K7b 4J30h" 1
7 P01 (1a) "TV55Mt JBwObq U0hxfp RbPww 9C7K ZBMZU 5T0Bk pkwkHx" 10a
8 P01 (1a) "FNR UTEGW jGY Ir3pU uqTITv r8x" 13b
9 P01 (1a) "KOtIRX K4Kej P39 elh KkYLH6" 13b
10 P01 (1a) "bLdvm haTP OFetkn oykax KJG 57B 4jy7v Say sfhbk vogM w8Q JUHD8h cwn 6SA aRrZB7 4ML oBIYB" 13b
11 P01 (1a) "FmZTIC 07YZa z0M45 ROyZeW Dew fJpP4 MKxRwe 1LGy L1J7Cs 0II ZZNKp veMGE" 11
12 P01 (1a) "TsH1I ccvW N6kh AQZ0Yb co3e1E wvnfv zeo7C HLh45b UXEG91 6lEZxr NRNN H9JF Urn" 15
13 P01 (1a) "Tv0vhG QP9Dil GqjMEz yZh E9O HpqeBC qml ah9Ln Htgn 6Vi 0x1KkF siW wBPcO C0C 1WzJve hMetu TMIgCm n1e9 eMgkvq hzXg3 PE5b8" 10a
14 P01 (1a) "tvNs PoOp jo0zsx MGi X9YZR" 13a
15 P01 (1a) "8xQHtq QsQG jj3VD s3U4 sTivj kXR 2ae hiC6nl BJo5" 13a
16 P01 (1a) "ao2 Lvm 6QNN uhmG qZQ2A MDXHF KN7 rJUehk G15 86dd2l Nx8a KGU" 9
17 P01 (1b) "KCr9d Opvv DMu4 Cyt5 nrdjzW NPvZ" 13a
18 P01 (1b) "3fu eR0 k6Bgn QSPZ p2sW eScs lQhjG ksha SVzNt rAm bDoo Sz1QgS" 10a
19 P01 (1b) "GMCfPh 5JZmS8 CtJ2 wbhWR Tj6 tDqF YGZ y2g HPE 9v6w5 quY71k uRv2 3VU" 7a
20 P01 (1b) "zpxas 9nll SNxc6 Fqo5 d0aq" 3
21 P01 (1b) "OXr 0NUVa YbaQO oLAVja" 10a
22 P01 (1b) "62HL Z64wY 8lrZ w87Py ZVCH9i Bh2 EZIb cos xJQN5 twX9dl FM9 2wo JTrdX3 XABq8 tzvVR MgwdK 3zmzv9 n9h Shu" 8c
23 P01 (1b) "018ZxW ULQGQ ulI7 2l7n o2kfO JEit rGXxj Wzx0z" 8c
24 P01 (1b) "HgZhJR bjF zh1Ll lyYdA buC 2a6fXm X3bh7b aw720 uF7dv" 9
25 P01 (1b) "jYk OCQl ZEVoyl lJb5 DztmU 9P5Oaq rE6 fUp 2qC2" 13b
26 P01 (1b) "k2HY 2ccAO zB6ig dTgT7w KJ93R fOx YKIEao" 9
27 P01 (1b) "mROYuW COm4 ziYTw fpMKh FiLU 2Y7yN8 kkC tVpG2X gIXNd puO WznHH EJHKl hF2aX qhX0 bu8xG tEWj sGXm" 13b
28 P01 (1b) "k0tVB YSmzS WO2h JCtdJ mdZ01w tKK giWzHy 1P2 EN7 Nanig IfUq9K n0bx uVUx3F y6YOi0 AfE 4RYfzW JLBoZ4 w1CYS 3pi3U5 W4A" 13a
29 P01 (1b) "9Fytag TfbQ OMS" 9
30 P01 (1b) "Wt4WYj Vg1 De3VKv CYZJxo 71P98 i75o9" 13a
31 P01 (1b) "l46oYt r0YT pezcO Fpj9S XNKUZZ uqtj PJxF BZ9IC" 13a
32 P01 (1b) "xyXUu Ej9 44ma ba51Vj R9S Vzk HFp4nH HvhZq c9zN p0k FK1F dmiWdA yrNCwy c9So7 MZr tjuxK vbBd Hn1 7xv dq1 BZ2n uMV pxrqKH IQp65d RNS" 8d
