Trial Box_Type x_Min x_Max y_Min y_Max Box_Width Box_Height Stimulus_Width Stimulus_Height_15_Words
Beton BetonFeedBox1 228 469 587 752 241 165 180 80
Beton BetonFeedBox2 470 711 587 752 241 165 180 80
Beton BetonFeedBox3 712 953 587 752 241 165 180 80
Beton BetonFeedBox4 954 1195 587 752 241 165 180 80
Beton BetonFeedBoxGiven 1196 1437 587 752 241 165 180 80
Beton BetonOwnBox1 228 469 325 490 241 165 180 80
Beton BetonOwnBox2 470 711 325 490 241 165 180 80
Beton BetonOwnBox3 712 953 325 490 241 165 180 80
Beton BetonOwnBox4 954 1195 325 490 241 165 180 80
Beton BetonOwnBoxGiven 1196 1437 325 490 241 165 180 80
Botox BotoxFeedBox1 568 809 615 754 241 139 180 80
Botox BotoxFeedBox2 810 1051 615 754 241 139 180 80
Botox BotoxFeedBox3 1052 1293 569 708 241 139 180 80
Botox BotoxFeedBox4 1052 1293 709 848 241 139 180 80
Botox BotoxFeedBoxGiven 326 567 615 754 241 139 180 80
Botox BotoxOwnBox1 568 809 366 505 241 139 180 80
Botox BotoxOwnBox2 810 1051 366 505 241 139 180 80
Botox BotoxOwnBox3 1052 1293 289 428 241 139 180 80
Botox BotoxOwnBox4 1052 1293 429 568 241 139 180 80
Botox BotoxOwnBoxGiven 326 567 366 505 241 139 180 80
Geld GeldFeedBox1 233 471 614 774 238 160 179 80
Geld GeldFeedBox2 472 710 614 774 238 160 179 80
Geld GeldFeedBox3 711 949 614 774 238 160 179 80
Geld GeldFeedBox4 950 1188 614 774 238 160 179 80
Geld GeldFeedBoxGiven 1189 1427 614 774 238 160 179 80
Geld GeldOwnBox1 233 471 390 550 238 160 179 80
Geld GeldOwnBox2 472 710 390 550 238 160 179 80
Geld GeldOwnBox3 711 949 390 550 238 160 179 80
Geld GeldOwnBox4 950 1188 390 550 238 160 179 80
Geld GeldOwnBoxGiven 1189 1427 390 550 238 160 179 80
Metro MetroFeedBox1 520 761 544 704 241 160 180 80
Metro MetroFeedBox2 520 761 705 865 241 160 180 80
Metro MetroFeedBox3 762 1003 705 865 241 160 180 80
Metro MetroFeedBox4 1004 1245 705 865 241 160 180 80
Metro MetroFeedBoxGiven 278 519 615 775 241 160 180 80
Metro MetroOwnBox1 520 761 222 382 241 160 180 80
Metro MetroOwnBox2 520 761 383 543 241 160 180 80
Metro MetroOwnBox3 762 1003 383 543 241 160 180 80
Metro MetroOwnBox4 1004 1245 383 543 241 160 180 80
Metro MetroOwnBoxGiven 278 519 300 460 241 160 180 80
Muziek MuziekFeedBox1 1044 1248 490 650 204 160 141 100
Muziek MuziekFeedBox2 1261 1465 329 489 204 160 141 100
Muziek MuziekFeedBox3 1261 1465 490 650 204 160 141 100
Muziek MuziekFeedBox4 1261 1465 651 811 204 160 141 100
Muziek MuziekFeedBoxGiven 839 1043 490 650 204 160 141 100
Muziek MuziekOwnBox1 418 622 490 650 204 160 141 100
Muziek MuziekOwnBox2 623 827 329 489 204 160 141 100
Muziek MuziekOwnBox3 623 827 490 650 204 160 141 100
Muziek MuziekOwnBox4 623 827 651 811 204 160 141 100
Muziek MuziekOwnBoxGiven 213 417 490 650 204 160 141 100
Suez SuezFeedBox1 225 482 560 725 257 165 180 80
Suez SuezFeedBox2 483 724 560 725 241 165 180 80
Suez SuezFeedBox3 725 966 560 725 241 165 180 80
Suez SuezFeedBox4 967 1208 560 725 241 165 180 80
Suez SuezFeedBoxGiven 1209 1450 560 725 241 165 180 80
Suez SuezOwnBox1 225 482 334 499 257 165 180 80
Suez SuezOwnBox2 483 724 334 499 241 165 180 80
Suez SuezOwnBox3 725 966 334 499 241 165 180 80
Suez SuezOwnBox4 967 1208 334 499 241 165 180 80
Suez SuezOwnBoxGiven 1209 1450 334 499 241 165 180 80
