Experiment Participant_ID Condition Trial Zone_Name Response Word_Count Correct_Points Element_Number Commission Omission
1 1683571 DiagramFeedback Beton DiagBox1 "jNVYh0 IrX5jQ 70xJ" 3 0 NA 1 0
1 1683571 DiagramFeedback Beton DiagBox2 "FXbr G3h 2eTBb xvrL l0q 5Ri dnl4 T03 EfzqU 3nfqzG r2O3C" 11 0 4 0 0
1 1683571 DiagramFeedback Beton DiagBox3 "MXiPOl LYw UX5DN S5IX yjY HbDInj 30u 7i2Bz FrSyM VnULF 5H2D 5mxRYJ" 12 1 4 0 0
1 1683571 DiagramFeedback Beton DiagBox4 "GPX 2Dqd8 avhkr HrEEY qh4 Sy7 1Kzf g3KZ BH5" 9 1 NA 0 0
1 1683571 DiagramFeedback Botox DiagBox1 "11vo 29hZ" 2 1 5 1 0
1 1683571 DiagramFeedback Botox DiagBox2 "dRd a3FK7 DeaDnc" 3 1 4 1 0
1 1683571 DiagramFeedback Botox DiagBox3 "LQVHCo O1zBys ZsPtn 3X6s1 jWt" 5 1 2 0 0
1 1683571 DiagramFeedback Botox DiagBox4 "qQX sjn1ir gQKO3n XGO97 lTuGpA Ueis0 f6bJAN nd0lRo f7Da xfNX dRzmsA DFRei lxiG" 13 1 5 1 0
1 1683571 DiagramFeedback Geld DiagBox1 "wO1J6d 16I if9iAP SmtO otk tcC4A N8vA jYF2o i3ejoQ tQeA rV3IsT ZW2P 5y17" 13 0 4 0 0
1 1683571 DiagramFeedback Geld DiagBox2 "Xi4a3w P9ZrX 8siU BOW dS75YB z1q5fa" 6 0 2 0 0
1 1683571 DiagramFeedback Geld DiagBox3 "yv5o d9Sn aS9h N79d E2Dnvw nByIBR gm6E oK3fpb EwRsHT njF5v" 10 2 2 0 0
1 1683571 DiagramFeedback Geld DiagBox4 "eXV H5X 6kRM02 TH4vn HJL tip1 dRo7k qVfM NwM5k HiY Zap9yJ pKM" 12 1 2 1 0
1 1683571 DiagramFeedback Metro DiagBox1 "r47S OAP gwz hGJGR s3v Bz64iR Mv4ycZ" 7 1 2 1 0
1 1683571 DiagramFeedback Metro DiagBox2 "wIAg a6lSj3 gxq89" 3 1 1 0 0
1 1683571 DiagramFeedback Metro DiagBox3 "kobE9i ALFp5K Rory22 WVao" 4 0 2 0 0
1 1683571 DiagramFeedback Metro DiagBox4 "Z3Q WvaOHw eZq8" 3 1 NA 0 0
1 1683571 DiagramFeedback Muziek DiagBox1 "Sa3 oRg" 2 1 NA 0 0
1 1683571 DiagramFeedback Muziek DiagBox2 "sM6uL1 MvP JXNWv Batu vcW Xcc 44fprE" 7 1 NA 0 0
1 1683571 DiagramFeedback Muziek DiagBox3 "BgmH7 b0O3oD GrH LgXR6 ESm 8PWsU p4bI lgu FJd Vey0q" 10 0 NA 0 0
1 1683571 DiagramFeedback Muziek DiagBox4 "XeG JRYd OM9 SvK T58" 5 1 4 0 0
1 1683571 DiagramFeedback Suez DiagBox1 ? 0 0 NA 0 1
1 1683571 DiagramFeedback Suez DiagBox2 ? 0 0 NA 0 1
1 1683571 DiagramFeedback Suez DiagBox3 "51pOs3 fO4 Wdmd44 gTXD Q2J F7d FG4 obCwIF KPi" 9 0 4 0 0
1 1683571 DiagramFeedback Suez DiagBox4 "cb2OR dyfPz9 Fw1iJ uVveOp AlPt BRQyQ" 6 2 2 1 0
1 2495352 DiagramFeedback Beton DiagBox1 "NUo Re0IW biuQT YI0C 8CQEM bOzy fTkaWN" 7 1 4 0 0
1 2495352 DiagramFeedback Beton DiagBox2 "F61E PBh5j P4Ca8 CnG DlipTN NdhWbS" 6 2 NA 0 0
1 2495352 DiagramFeedback Beton DiagBox3 "4K0P yyi zZoK" 3 1 2 0 0
1 2495352 DiagramFeedback Beton DiagBox4 "ASdahA 7vB 92Dj H43 Ol0DO FP0r z6OTqg lEUIi9 LWrPk" 9 1 3 0 0
1 2495352 DiagramFeedback Botox DiagBox1 "nfX Etq gmGs LA6D0R QheC3X yV8 z0iq pf4QR FYR88I" 9 0 NA 1 0
1 2495352 DiagramFeedback Botox DiagBox2 "TXZ Q9G dpp 6zBsso vFwMrr BHqFKp 5Plea 1y7Aj PZc efdPJ 8q4 rbPi2h DBcB" 13 1 4 0 1
1 2495352 DiagramFeedback Botox DiagBox3 "OKEL24 gUOF sVv mmW uvKf 7vu S6hs0 ATvV7 mszW bE0oNW KMA" 11 1 3 0 0
1 2495352 DiagramFeedback Botox DiagBox4 ? 0 0 NA 0 1
1 2495352 DiagramFeedback Geld DiagBox1 "9nBj vY4xm eEpL6C AY8FYd MwA FSFnWs wtLm AEjZ 248H o5CL5 UbHb" 11 0 3 1 0
1 2495352 DiagramFeedback Geld DiagBox2 "vgg nC5r QxWdF M2y qRw 9t1dZl eDK13L esF tKrLfF sOI7 KBED Caf" 12 1 4&5 0 0
1 2495352 DiagramFeedback Geld DiagBox3 "hz9NT ALfyY a9Q uKgE3 3PnD 5ul" 6 1 2 0 0
1 2495352 DiagramFeedback Geld DiagBox4 "IRtD ZGE8 Pp2F2 zoY9 S2yR PEjAN zVI6L 0c6GNR uy9rQd ESx4ho" 10 1 5 0 1
1 2495352 DiagramFeedback Metro DiagBox1 "iJPf1h 6X2k 4sfv9x y0IBeC" 4 1 5 0 0
1 2495352 DiagramFeedback Metro DiagBox2 "YF7nv jtG 2q2c TpMuu Gw1VB3 lr2" 6 0 4 0 0
1 2495352 DiagramFeedback Metro DiagBox3 "0P2zL 1EZHk XT9 CzsI6v" 4 0 2 0 0
1 2495352 DiagramFeedback Metro DiagBox4 "38E 2tkCd DvBei AUqMx SKU" 5 0 4 0 1
1 2495352 DiagramFeedback Muziek DiagBox1 "YmhT PYEiaf 9zGUt OiQf IRcX qpdPqH QeviNG Gf0R iFHK YKASsf xW5Ct o0y3M URIDm AienL7" 14 1 4&5 0 0
1 2495352 DiagramFeedback Muziek DiagBox2 "CJc EUx P9y1 FFAQ2A fWj8YB 7fmokE" 6 0 NA 0 0
1 2495352 DiagramFeedback Muziek DiagBox3 "mUZ HAm rZ9t3H" 3 1 5 0 0
1 2495352 DiagramFeedback Muziek DiagBox4 "i2GxZi zVADy J0k8QF" 3 1 3 0 0
1 2495352 DiagramFeedback Suez DiagBox1 "MGdXJ9 h6C bLoa0 GVsPt kIy AcZ" 6 1 1&3 0 0
1 2495352 DiagramFeedback Suez DiagBox2 "EKh I3G1R 6zWtrs DcJ yQYRbH oWA V18 dPf 3KEd2C AP7" 10 1 3 0 1
1 2495352 DiagramFeedback Suez DiagBox3 "01Of Gzuiz1 ieUf10" 3 1 2 0 1
1 2495352 DiagramFeedback Suez DiagBox4 ? 0 0 NA 0 1
1 2977600 DiagramFeedback Beton DiagBox1 "y6QRM Z4RFR 2Uf" 3 1 NA 0 0
1 2977600 DiagramFeedback Beton DiagBox2 "SgNj h6wi t9pn" 3 1 4 1 0
1 2977600 DiagramFeedback Beton DiagBox3 "oHIr2v ojo djs DlOdxh 2WwOR2 AMToU hFy7Z8 ezX Yr507 b060 NJae 3Do Rdj" 13 1 NA 0 0
1 2977600 DiagramFeedback Beton DiagBox4 "V3f fuxJ e9wNfa bSuN Rx2AI" 5 1 5 0 1
1 2977600 DiagramFeedback Botox DiagBox1 "hncjIS lEbWC fn4bMg K7Ott vcaF tDp3d2 ATZu" 7 0 4 1 0
1 2977600 DiagramFeedback Botox DiagBox2 "2CK xYa 6qj Xk20e IWjRPr" 5 1 1 0 0
1 2977600 DiagramFeedback Botox DiagBox3 "RTg3BX tx9mjZ CKx 8oE vki y3ckm" 6 1 4 0 0
1 2977600 DiagramFeedback Botox DiagBox4 "vxrr sok Ng5lp wP6Fd axD5 3kSxKc qTX BcTp" 8 0 5 1 0
1 2977600 DiagramFeedback Geld DiagBox1 "Bwf Xl6Y9D fwbff nkrDE KDK5" 5 1 5 0 0
1 2977600 DiagramFeedback Geld DiagBox2 "Apa MMsfY FscbTP 3zLk eLzJ 5mWkj 93AJf XQE Kh90yv GiwL00" 10 1 1 0 0
1 2977600 DiagramFeedback Geld DiagBox3 "j17e ucI7t 689 QkDa8E b8fegO Jse7e8 m0iK 6LO RKQU fxquC ehM" 11 0 1 0 0
1 2977600 DiagramFeedback Geld DiagBox4 "eOQMv PEYCy rSgAnO akoweQ 1V7yXx BI656T qDa WMU 71re9 sV3Ua" 10 1 2 0 0
1 2977600 DiagramFeedback Metro DiagBox1 "1NFOX qtTU wIxX U1YWbU 100 lJz 1hq QiytVt 46cWl xgk LpD N6c7e rJlQ0 kPADz 0Vi oHl" 16 0 3 0 0
1 2977600 DiagramFeedback Metro DiagBox2 "Y59mx ZE6tx Um93K1 fXfhn7 T0aXZa Yama gXvpGI" 7 1 4 0 0
1 2977600 DiagramFeedback Metro DiagBox3 "wWm qQxan GbaDp mfY7w lKQ Otwr rUQU Dkql X8QoA CsG zv19 LIrF GPOz" 13 1 3 0 0
1 2977600 DiagramFeedback Metro DiagBox4 "HE2Bm 9pUYb gjw 7L8 fwi7JX 8XVmK DTMex" 7 1 3 0 0
1 2977600 DiagramFeedback Muziek DiagBox1 "6wb e6j MkNnP bmHK VTve7" 5 1 2 0 0
