Participant_ID Trial Position Response Word_Count Correct_Coder_1 Element_Number_Coder_1 Commission_Coder_1 Correct_Coder_2 Element_Number_Coder_2 Commission_Coder_2
3417530 Suez DiagBox2 ? 0 2 4 1 2 4 1
3417530 Suez DiagBox4 ? 0 2 4 1 2 4 1
9627535 Suez DiagBox1 "iLR QLNd ELUWHx nAGv y44AYL 69JwtQ VgIi Ct9Kk dt8G Ohv FAU38 qgwM npk1 69Wpu HyWn" 15 2 4 1 2 4 1
9627535 Suez DiagBox2 "IdiaJq WL7eB5 pBfRY8 M5TbmN" 4 2 4 1 2 4 1
9627535 Suez DiagBox3 "Svoe gJVnG pMZ hXPqc 41g L2yi eE6WaR SZI" 8 2 4 1 2 4 1
9627535 Suez DiagBox4 "9c5 LndN uJkL ZONQ RtjL rXiIC pDo78z" 7 2 4 1 2 4 1
5934944 Beton DiagBox3 "9I4EPE 73srM cpDc hBf8 iqCM RUwW Nawo4Z vMgMG GGqTuX sM8Z" 10 2 4 1 2 4 1
5934944 Beton DiagBox4 "2LOfON vlzG6 cRnX KrkL" 4 2 4 1 2 4 1
1951490 Beton DiagBox1 "S838U m3Lpx v38Xw Zjh tEH y5C9 P4kN XY7oB qDh665 3IYggO vqvf x2Cz 5sV6m EFq tBfu v4hl7 px2B8" 17 2 4 1 2 4 1
1951490 Beton DiagBox2 "hKP3 fNuZpO NU8z2 pAq3D gVa" 5 2 4 1 2 4 1
1951490 Beton DiagBox3 "1vxK1g E5K 4Nn0 4MOPA o5Ir ICuY43 yuU" 7 2 4 1 2 4 1
4923840 Botox DiagBox1 "C9OZ kJhm Tf2 dKhai 1QgMPX mayw7 4XiJC WcI" 8 2 4 1 2 4 1
4923840 Botox DiagBox3 "B73Jkx SzzXL ORoN eIvW ColC1 Hl1hEY NUspML 7uaN79 kiQvP" 9 2 4 1 2 4 1
4923840 Botox DiagBox4 "ZGo9N ZUVkQ yHW5kX LId LIO G10Dz" 6 2 4 1 2 4 1
5962975 Beton DiagBox1 "xNi4L 5glL FrZ hED Tnof IH96 4FBZ xdSTS GaVk3U ZAs6M" 10 2 4 1 2 4 1
5962975 Beton DiagBox2 "j5gY gNU UYX MhM p0w6 Jzuizw umbu aMc m9LOg8 RTiJJ L6bUH9 tA7N9" 12 2 4 1 2 4 1
5962975 Beton DiagBox3 "hog 9cmV9 CxE mJST X8o" 5 2 4 1 2 4 1
5962975 Beton DiagBox4 ? 0 2 4 1 2 4 1
5962975 Suez DiagBox1 "olY JWV ZnP VLE9 kdHXv8 8Ue8u Pn7NE" 7 2 4 1 2 4 1
5962975 Suez DiagBox2 "NVOvf au23OG 36hA k92I YPUZ Ets esI Ei2k" 8 2 4 1 2 4 1
8060200 Botox DiagBox1 "IlBz z1kO 16giBM XPNzm PaUN5 96bT6M" 6 2 4 1 2 4 1
8060200 Botox DiagBox3 "VW48 fF4IQi m27V2 iewRb" 4 2 4 1 2 4 1
8013348 Geld DiagBox2 "gxgj TwAQ l7P P6OIr lM1ofs v09md SIxW MSZ iOx 41O x13G g0O0Ji" 12 2 4 1 2 4 1
8013348 Geld DiagBox3 "k0Gv1o qG8V MR52d uVg akfB5A DqiS4" 6 2 4 1 2 4 1
8013348 Muziek DiagBox1 "7AohA W3Y12 mmssV wyM 7RjV8 fYZ HfJNhP NXrD LAxE" 9 2 4 1 2 4 1
5254136 Botox DiagBox1 "cSrC9a 2Ipe uZL5tW eag3 ap0B 2rcI1 lQGVgU Lyz i12 6GY 0eovnv" 11 2 4 1 2 4 1
5254136 Botox DiagBox3 "YDSU 4gSkD TK54k5 84eoG jL0 yJ57a xXazp QDJ4T jduj 316hW jGzZs gFqO" 12 2 4 1 2 4 1
