Participant_ID Condition session_id status started_datetime completed_date_time time_taken_sec time_taken_min Time_On_Task age Sex
5844750 StandardOnly ZGSANRM3TSVJ4fN9GtSAkDzM APPROVED 2020-10-02T12:23:24Z 2020-10-02T12:38:01Z 877.33S 25.0414924242424 32.45 20 Male
8400491 PictureMatching 2Yul7BLREOfgbcGXgYpVa4do APPROVED 2020-10-06T00:48:36Z 2020-10-06T01:58:59Z 4223.83S 44.88 28.6087719298246 18 Male
9975359 DiagramStandard eR10Zy2T8hgiAsMEZJ1eCJE9 APPROVED 2020-11-12T23:47:45Z 2020-11-13T00:11:56Z 1451.919S 35.42 59.0833333333333 22 Male
3417530 DiagramNoStandard eZSUOo6eWE1D8viM3N3qPUkQ APPROVED 2020-10-17T16:24:58Z 2020-10-17T17:28:23Z 3805.243S 54.319555 22.1 20 Male
9627535 DiagramNoStandard dnXU7vFPHRALxUzV9DyNjVaW APPROVED 2020-10-09T09:35:42Z 2020-10-09T10:15:19Z 2377.14S 28.889555 35.8866666666667 21 Male
6761511 DiagramStandard hnHTqxqjj8VrlLagDxNRV1S1 APPROVED 2020-10-12T03:55:36Z 2020-10-12T04:19:51Z 1455.63S 33.45 25.17 21 Female
2134522 StandardOnly frsaRnvSBBVQAnN1YAjI0D8V APPROVED 2020-11-23T11:42:18Z 2020-11-23T12:15:28Z 1990.96S 46.99 6.57 19 Female
7153620 PictureMatching k71VsBNHq5bbrJp3Tnd1voix APPROVED 2020-11-27T20:18:33Z 2020-11-27T21:11:52Z 3199.321S 50.3796842105263 13.84 20 Male
1317396 StandardOnly z6SVWbAVJZQr8pBKKawXDyxt APPROVED 2020-10-05T22:29:37Z 2020-10-05T23:02:32Z 1975.33S 22.4714924242424 6.97757575757575 21 Female
5934944 DiagramStandard I41ikxLbRltUPEi1cRaH8CmP APPROVED 2020-11-29T07:08:16Z 2020-11-29T07:56:33Z 2897.4S 38.8586578947368 16.52 20 Female
1951490 DiagramNoStandard lOyKAPJx3Ix0AHua4wVoXvM0 APPROVED 2020-11-26T02:38:21Z 2020-11-26T06:02:31Z 12250.783S 48.43 21.7566666666667 20 Male
6218947 PictureMatching RUQwG8US90GzyIozZ9B8XdgD APPROVED 2020-11-27T08:35:14Z 2020-11-27T09:31:43Z 3389.671S 31.4996842105263 34.66 21 Male
3015148 StandardOnly S66fDSkLzSiJ00lZdckVhR3W APPROVED 2020-11-29T10:58:06Z 2020-11-29T11:31:21Z 1995.59S 14.67 18.7575757575758 20 Male
2416880 DiagramNoStandard 7yeHRzx2CuUNgtVRkqOVh5EP APPROVED 2020-11-03T23:12:48Z 2020-11-04T00:01:53Z 2945.053S 34.289555 22.0066666666667 21 Male
5646202 DiagramStandard zaCzfAnWmf4Pp1nZ3285cNXN APPROVED 2020-10-07T14:43:35Z 2020-10-07T15:30:45Z 2830.759S 32.14 23.8966666666667 20 Male
1624316 PictureMatching lKoZIm5jLIrgkUA56ag5OBCl APPROVED 2020-11-25T00:01:16Z 2020-11-25T00:37:08Z 2152.87S 21.55 18.9 22 Male
3112307 StandardOnly UcLBWtqrjE3HhE3PjlrQjUxk APPROVED 2020-10-01T10:22:08Z 2020-10-01T10:42:44Z 1236.7S 76.5372333333333 2.53 18 Male
2990175 DiagramNoStandard 9UT3rZTiAagicrnasS1BDvvd APPROVED 2020-11-02T13:59:37Z 2020-11-02T14:36:07Z 2190.343S 27.24 32.8766666666667 20 Male
4923840 DiagramStandard hEpJM9x7xkyVnskXtKw9A8pP APPROVED 2020-10-04T13:48:56Z 2020-10-04T14:31:17Z 2541.789S 47.8 17.2166666666667 20 Female
