Participant_ID Condition session_id status started_datetime completed_date_time time_taken_sec time_taken_min Time_On_Task age Sex
3361836 StandardOnly dv3qq73i2KK0LXIM1FD2zGrQ APPROVED 2020-10-05T16:36:39Z 2020-10-05T16:57:55Z 1276.28S 35.45 28.43 20 Male
6688089 StandardOnly JUJKrBNBPf4Jzl85FxXzu92Y APPROVED 2020-10-17T14:39:07Z 2020-10-17T15:08:35Z 1768.79S 6.73 3.72757575757575 21 Male
8254165 StandardOnly 1tzCcMqHAnCRF4N7kw3MvKme APPROVED 2020-11-22T20:36:48Z 2020-11-22T21:53:20Z 4592.234S 18.4214924242424 30.79 19 Male
3464819 StandardOnly uYZBaTNP3PO4qAXyTcfSB7EW APPROVED 2020-11-29T16:49:22Z 2020-11-29T17:10:39Z 1277.24S 76.5372333333333 16.3375757575757 19 Male
3903094 StandardOnly so2NsrInFIZQlgtQEfPCPzII APPROVED 2020-11-22T04:56:05Z 2020-11-22T05:17:14Z 1269.42S 14.7214924242424 14.74 22 Male
8967355 StandardOnly z5v189y2ZpajGsWJTIs1Mb0u APPROVED 2020-10-18T10:02:16Z 2020-10-18T10:42:57Z 2441.1S 7.14149242424242 15.82 21 Female
7889284 StandardOnly sYCjNKyjtarwcaKJVJIOAK4U APPROVED 2020-11-09T03:53:45Z 2020-11-09T04:18:08Z 1463.5S 46.43 1.92757575757575 21 Female
8242221 StandardOnly F5ElexG2CpQ26lAWFQ7nrCDn APPROVED 2020-11-24T21:13:13Z 2020-11-24T21:18:36Z 323.15S 48.34 24.7775757575758 20 Male
4860693 StandardOnly CIYDZqAT23wVSdAWz8XZP8hN APPROVED 2020-10-29T23:59:23Z 2020-10-30T00:34:18Z 2095.4S 5.53149242424242 3.82 28 Male
7448371 StandardOnly rd116Hvs0jGa2hYTqFLW2dhT APPROVED 2020-10-19T12:19:48Z 2020-10-19T12:26:08Z 380.3S 7.44149242424242 32.45 21 Male
