"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1601716701705,2,"03/10/2020 11:18:21","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,"",NA
"10",1601716906124,2,"03/10/2020 11:21:46","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",5,"JoL2","Two","response_button_text",138278.52,NA,NA,"1",1,"SportenDiagramNoFeedback",NA
"11",1601716907599,2,"03/10/2020 11:21:47","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",6,"InstructieToets","advancementZone","continue_button",138278.52,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"12",1601716994385,2,"03/10/2020 11:23:14","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",7,"Test","buttonA","response_text_area",138278.52,NA,NA,"g3CjXX",NA,"SportenDiagramNoFeedback",NA
"13",1601716994390,2,"03/10/2020 11:23:14","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",7,"Test","buttonB","continue_button",138278.52,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"14",1601716996052,2,"03/10/2020 11:23:16","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",1,"1",8,"Klaar4Experiment","advancementZone","continue_button",138278.52,NA,NA,"",NA,"SportenDiagramNoFeedback",NA
"15",1601717011672,2,"03/10/2020 11:23:31","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",10,"1",1,"Text","advancementZone","continue_button",138278.52,NA,NA,"",NA,"MuziekDiagramNoFeedback",NA
"16",1601717044473,2,"03/10/2020 11:24:04","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",10,"1",2,"JoL1","Three","response_button_text",138278.52,NA,NA,"1",1,"MuziekDiagramNoFeedback",NA
"17",1601717163837,2,"03/10/2020 11:26:03","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",10,"1",3,"Diagram","DiagBox1","response_text_area",138278.52,NA,NA,"fAKK",NA,"MuziekDiagramNoFeedback",NA
"18",1601717163839,2,"03/10/2020 11:26:03","BLIND",1951490,NA,"complete",NA,"5f7840fc881adf3ba90fe47e","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1920x1080","1920x969","DiagramNoFeedback","DiagramNoFeedback","DiagramNoFeedback",10,"1",3,"Diagram","DiagBox2","response_text_area",138278.52,NA,NA,"G9Fl",NA,"MuziekDiagramNoFeedback",NA
