"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_81rl","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display"
"1",1601717721816,2,"03/10/2020 11:35:21","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,""
"10",1601717980455,2,"03/10/2020 11:39:40","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",5,"JoL2","Two","response_button_text",47233.73,NA,NA,"2",1,"SportenPictureMapping"
"11",1601717984800,2,"03/10/2020 11:39:44","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",6,"InstructieToets","advancementZone","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"12",1601718112711,2,"03/10/2020 11:41:52","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonA","response_text_area",47233.73,NA,NA,"hd",NA,"SportenPictureMapping"
"13",1601718112713,2,"03/10/2020 11:41:52","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonB","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"14",1601718119722,2,"03/10/2020 11:41:59","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",4,"1",1,"Screen 1","advancementZone","continue_button",47233.73,NA,NA,"",NA,"ReadyForExperiment"
"15",1601718119725,2,"03/10/2020 11:41:59","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","",NA,"END TASK",NA,"","","",397910,NA,NA,"",NA,""
"2",1601717740544,2,"03/10/2020 11:35:40","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",1,"1",1,"Screen 1","advancementZone","continue_button",47233.73,NA,NA,"",NA,"IntroAlice"
"3",1601717882244,2,"03/10/2020 11:38:02","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",2,"1",1,"Screen 1","content","content_video",47233.73,NA,NA,"",NA,"AlicePictureMappingIntroVid"
"4",1601717898387,2,"03/10/2020 11:38:18","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",2,"1",2,"Klaar4Sporten","advancementZone","continue_button",47233.73,NA,NA,"",NA,"AlicePictureMappingIntroVid"
"5",1601717927014,2,"03/10/2020 11:38:47","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",1,"Text","advancementZone","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"6",1601717942659,2,"03/10/2020 11:39:02","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",2,"JoL1","Two","response_button_text",47233.73,NA,NA,"2",1,"SportenPictureMapping"
"7",1601717948086,2,"03/10/2020 11:39:08","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",3,"IntroPictureMapping","advancementZone","continue_keyboard",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"8",1601717977718,2,"03/10/2020 11:39:37","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",4,"PictureMapping","PictureMappingResponse","response_text_entry",47233.73,NA,NA,"2",NA,"SportenPictureMapping"
"9",1601717977720,2,"03/10/2020 11:39:37","BLIND",6218947,NA,"complete",NA,"5f784135b1c1383c43376c63","computer","Desktop or Laptop","Mac OS 10.14.6","Safari 14.0","1440x900","1440x789","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",4,"PictureMapping","Zone3","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"1",1601673716232,2,"02/10/2020 23:21:56","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,"",NA,""
"10",1601673980535,2,"02/10/2020 23:26:20","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",5,"JoL2","Three","response_button_text",47233.73,NA,NA,"2",1,"SportenPictureMapping"
"11",1601673990475,2,"02/10/2020 23:26:30","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",6,"InstructieToets","advancementZone","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"12",1601674104179,2,"02/10/2020 23:28:24","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonA","response_text_area",47233.73,NA,NA,"eXwqlS",NA,"SportenPictureMapping"
"13",1601674104183,2,"02/10/2020 23:28:24","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",3,"1",7,"Test","buttonB","continue_button",47233.73,NA,NA,"",NA,"SportenPictureMapping"
"14",1601674106155,2,"02/10/2020 23:28:26","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",4,"1",1,"Screen 1","advancementZone","continue_button",47233.73,NA,NA,"",NA,"ReadyForExperiment"
"15",1601674106162,2,"02/10/2020 23:28:26","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","",NA,"END TASK",NA,"","","",389930,NA,NA,"",NA,""
"2",1601673720217,2,"02/10/2020 23:22:00","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",1,"1",1,"Screen 1","advancementZone","continue_button",47233.73,NA,NA,"",NA,"IntroAlice"
"3",1601673870314,2,"02/10/2020 23:24:30","BLIND",7153620,NA,"complete",NA,"5f7799656806a61a583dc152","computer","Desktop or Laptop","Windows 10","Chrome 85.0.4183.121","1536x864","1536x754","PictureMapping","AliceSportIntroPictureMapping","AliceSportIntroPictureMapping",2,"1",1,"Screen 1","content","content_video",47233.73,NA,NA,"",NA,"AlicePictureMappingIntroVid"
