"Event_Index","Local_Timestamp","Local_Timezone","Local_Date","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","randomiser_bod5","Spreadsheet","Spreadsheet_Name","Spreadsheet_Row","Trial_Number","Screen_Number","Screen_Name","Zone_Name","Zone_Type","Reaction_Time","Reaction_Onset","Response_Type","Response","Attempt","display","Diagram_Box_Require_Response"
"1",1616170503950,1,"19/03/2021 17:15:03","BLIND",1742870,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616170505074,1,"19/03/2021 17:15:05","BLIND",1742870,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",NA,NA,NA,3,1,"JoL2",NA
"3",1616170505076,1,"19/03/2021 17:15:05","BLIND",1742870,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"END TASK",NA,"","","",1126,NA,NA,NA,NA,"",NA
"1",1616773738030,1,"26/03/2021 16:48:58","BLIND",4401973,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616773740725,1,"26/03/2021 16:49:00","BLIND",4401973,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",NA,NA,NA,3,1,"JoL2",NA
"3",1616773740729,1,"26/03/2021 16:49:00","BLIND",4401973,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"END TASK",NA,"","","",2699,NA,NA,NA,NA,"",NA
"1",1616756894584,1,"26/03/2021 12:08:14","BLIND",4604700,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616756901703,1,"26/03/2021 12:08:21","BLIND",4604700,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Two","response_button_text",NA,NA,NA,3,1,"JoL2",NA
"3",1616756901707,1,"26/03/2021 12:08:21","BLIND",4604700,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"END TASK",NA,"","","",7123,NA,NA,NA,NA,"",NA
"1",1615817454408,1,"15/03/2021 15:10:54","BLIND",6040867,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1615817455790,1,"15/03/2021 15:10:55","BLIND",6040867,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","One","response_button_text",NA,NA,NA,3,1,"JoL2",NA
"3",1615817455793,1,"15/03/2021 15:10:55","BLIND",6040867,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"END TASK",NA,"","","",1385,NA,NA,NA,NA,"",NA
"1",1616499085243,1,"23/03/2021 12:31:25","BLIND",7535685,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1616499086742,1,"23/03/2021 12:31:26","BLIND",7535685,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",NA,NA,NA,3,1,"JoL2",NA
"3",1616499086745,1,"23/03/2021 12:31:26","BLIND",7535685,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"END TASK",NA,"","","",1502,NA,NA,NA,NA,"",NA
"1",1615821569343,1,"15/03/2021 16:19:29","BLIND",7813495,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","",NA,"BEGIN TASK",NA,"","","",NA,NA,NA,NA,NA,"",NA
"2",1615821571646,1,"15/03/2021 16:19:31","BLIND",7813495,NA,"complete",NA,NA,"computer","Desktop or Laptop","Windows 10","Firefox 45.0","1680x1050","1668x949","Botox","Part3_JoL2","Part3_JoL2",1,"1",1,"JoL2","Three","response_button_text",NA,NA,NA,3,1,"JoL2",NA
