Experiment Participant Right_Eye_Deviation_X Right_Eye_Deviation_Y Tracking_Ratio_Perc
2 208714088 0.3 1.1 95.6
2 333482097 1 0.4 81.1
2 366614767 1.5 0.8 65.1
2 367456728 0.3 0.3 91.5
2 367456728 0.3 1 84.3
2 395844929 1.6 0.6 73.9
2 425553094 0.7 1.5 69
2 434937860 1.9 2.7 63.1
2 434937860 0.5 1 95.6
2 456006974 1.8 0.4 74
2 468585879 1.3 0.7 94.7
2 468585879 1.6 0.8 95.6
2 468585879 1 1.2 90.2
2 516294901 2 1.2 95.6
2 516294901 0.3 0.3 62.6
2 516294901 1.3 0.5 95.6
2 789799657 0.3 1.4 70.7
2 835133482 0.3 1 81.4
2 835133482 0.7 0.4 91.5
2 844762941 1.9 1.2 75.2
2 844762941 4.2 1.3 95.6
2 844762941 1.8 0.6 69
2 887476908 0.3 0.3 84
