No. Proefpersoon Instructie_Code Segmenten Codes_Sophia Codes_Marloes Word_Count
1 P01 (1a) "Ok6xs VQmAd 4Y3Q WHO54 Ky9 lurM Sjbn epFM" 8a 8a 8
2 P01 (1a) "5DHkjX 2XyDzT I7Q kbT 39Y PgdXP" 9 9 6
3 P01 (1a) "dl13 2ND dXAMOU C3VSo 0aA Z5v3DG mSJ3me WumxJ" 9 9 8
4 P01 (1a) "ySL16K TKBme3 Vsjs VC6 EI0Tdv s0W vyOBCs ggSMrc caEf f6aa U7ie" 1 1 11
5 P01 (1a) "NPjvX 5y1 AE0GVK svZnT yFI W2Jpt wbmPNX Fyidkp" 13a 13a 8
6 P01 (1a) "8Fu vGQFF QD1j 9bEP hfmDV AG0" 1 1 6
7 P01 (1a) "ls87s DmUZK a60 djLF HxDt PwI xaoc pO4o7 mSH ajTU" 8a 8a 10
8 P01 (1a) "fan GC9FSU Uv1dtR ojcDbo EQdaEm" 8b 8b 5
9 P01 (1a) "CHbw WWe9UQ LezQr3 8CI fXIJI eEc bCnse 4ztn9B jYizpU aelV Q3zav" 1 1 11
10 P01 (1a) "7AkPZ ig3w VztY5 gpElEI eN92k eqL TnT" 1 1 7
11 P01 (1a) "wRM6TA gI1YrC ubDo aL4Bl ZTv 6tfr zMq PKzWLz 74Gk9v N44 hNg" 15 15 11
12 P01 (1a) "0rabS Ub9ws9 vidAmp AtVFO olC jhj3 sqyHj P5s5 o8JG Wadci" 15 15 10
13 P01 (1a) "79q4HP PJGZ xzt yusYn9 WqIY FrF 43si oQB8 v52hUN" 9 9 9
14 P01 (1a) "7id CD7cSr v8G 8k3W Tp0R Krk vF9x yNNtY" 10 10 8
15 P01 (1a) "mpny H7G vWFFcb wmNXc qjvs" 13a 13a 5
16 P01 (1a) "jH06W GUj7p vZkfTl Vgup U4jnc XjrU 02l4i HTI D4Y2G7 Hc7R" 15 8c 10
17 P01 (1b) "YS8 GyAa 0OE FDBok NN8Qye bLl yU2t" 7b 7b 7
18 P01 (1b) "JPv9 tXY fFu TsHuFT IeX KSVRv Y23q7l j29yd YmTFT" 8a 8a 9
19 P01 (1b) "N6FY rVYTu8 uH4 GRWi NXBbV IpwJQX fSerk 6oNX uu8eX SnM" 8b 8b 10
20 P01 (1b) "yxqZ sY18y VpRHNp pcP qsWKV6 Hz95oU 4Pz1g D0JX3 aF2 6rYQI dWZOM tAgwu o7Xg sulWT" 15 15 14
21 P01 (1b) "bsV lda by20o Gnp xuK w21 IHo7j 6PC bSWspA tDY 7KHYzk 4Gv Iyybxt Wrrd lLS JTYpE vd6ua sM4WX5 IdDn4 pTaf" 10 10 20
22 P01 (1b) "GFC4EN N2xY QUFv Jmxm" 13a 13a 4
23 P01 (1b) "tiVAi 7Pw2 Mv26 e5uSnF 53Ue7m 87ZqRh 9gjI7 hDHHN7 6zIV8" 10 10 9
24 P01 (1b) "ttqyNo npBG76 TA8C PjU9 oLk0K 9LJ puzJ 5fSFH BsKk 9MhGa" 10 10 10
25 P01 (1b) "RGsO 3bj mYPo dbIOc Bveop 0x4 Cr9NU 4nN3 oX5 rRRf5C 3N8A" 13a 13a 11
26 P01 (1b) "zD72 ZYZW0o tlI jAwcP M74 MBoq l3VTCC" 13a 13a 7
27 P01 (1b) "TN43PO xYf AzRR vMS4 SuMh 8U9 XOpQ bSN4 Js3MG sLW YdD" 8d 8d 11
28 P01 (1b) "w83 crlI Catsj CRe LWuZ6Y dFvAL 0Mi LfpTj UeQ6 P1yuHx jSs" 9 9 11
29 P01 (1b) "rLy xb5t 5XC RCbBo fM3u 38y E2p CBu9 7pC8 JUNCu" 15 15 10
30 P01 (1b) "3jDl sKSb kLF WtGGI GnzY QCFKn 8ss TjQsdi XHLj 0nAV qHaiqN Zzo vTA9A7 t0me rofQE9 u8h UswL WTM5bO" 8c 8c 18
31 P01 (1b) "RfT Ntd84b mBC0T ghyD Qhb WsHXe wV4JC 1b3 QzESK rZO RkV" 8c 8c 11
32 P01 (1b) "cOE 9rlQ ACD3j T0DMr" 3 3 4
33 P01 (1b) "nRiu Vdut Veumvi pvM nEL sYnXf dRKln" 12 12 7
34 P01 (1b) "woENy bNJ RrGRB vwcOkn ANI XX3 fOi Bwtm plD B5IO oA3au" 8c 8c 11
35 P01 (1b) "Vw0v sqyTma 2RvE goRQY JPYhn 6Bt 0yeNb" 9 9 7
36 P01 (1b) "eAJO 51sgW TpP c3p Tar fVXyA 98HD KLzVg" 13b 13b 8
37 P01 (1b) "qwWp LCKj jAG UiA hyz55v Dv9x" 15 15 6
38 P01 (1b) "lbP2Gb p1xA Bsha Y9P3 36KF9h Csa6" 8c 8c 6
39 P01 (1b) "5GT1S Oasg ii2e8 Sq6W KPL cmjBx9 PGfvf WyH 16j" 13a 13a 9
40 P01 (1b) "6tD VScHl v2BLQ 23zO 74nd2o KGr5e nM7f L8Ar Msa OxSlAK tGRM qMV70i R21TP bUYATz C6qm5 Wk1" 8a 8a 16
41 P01 (1b) "E95xjo GOhM X0NL GOS 40c b46F0 m951 g9yo H0T9xW 7lV Vmaji WZ9ht 8KuH" 15 15 13
42 P01 (1b) "QSJm pAyn0 XHR" 8b 3 3
43 P01 (1b) "VRjC ldQ9v iHFx LOeN dwIbnz Lhe d6O NHft" 15 10 8
44 P01 (1b) "U5odC Tdubaw MHWj wxoA I2Prs" 3 8c 5
45 P01 (1b) "HNzo lRT GZb1a nD9aZ NoVbUP 3K6OGF KyuG" 10 10 7
46 P01 (1b) "quln VCOc X1JRR 6EDF hv1q1" 8d 7b 5
47 P01 (1c) "IqJdZo a3z7Ci jnJf AkO GSEID dgsvky dAxSbI weSkE WF9 cWy8i1 VOP" 10 10 11
48 P01 (1c) "exaPI pXqLV8 2rj KxIM 2lAW1 xPYQ mW4o" 13a 13a 7
49 P01 (1c) "x6zS JoTIY nJT9M" 8b 8b 3
50 P01 (1c) "WB5 khEw dQrjR 0zO cDd lSN b3A" 5 5 7
51 P01 (1c) "4ddH8e znJr fZTSSn O3JOmz QMOAu ecbaD k5uq lEk4 ZrfNGn S4N7 QL1l0 wJL6R wbi" 7a 7a 13
52 P01 (1c) "fgb2GD 0nSZZ Zw9 kZmA bSTkl1 AxYcC qA0yBD HfK2H" 8a 8a 8
53 P01 (1c) "MpR 2YfuAQ swna xqb tjqhZ steQ7 jkZq1 6cmzj2 Yep Z1l kq8 4VS0zq fOC JSGrQp" 9 9 14
54 P01 (1c) "GuVwQe KYNfj6 aS68cz fnfFh DiwAE 2eC9Lg 239SdQ" 8c 8c 7
55 P01 (1c) "WJh PShkZD ugFudK 8nAe TFxOo7 oxRI qjuovM z3HzV A6FS7 5KyG" 8d 8d 10
56 P01 (1c) "Ngm2Ty g2aU vBGNc g2UL sBQej8 sEl AxD0cH 39D7r 2Xg sltD" 3 3 10
57 P01 (1c) "4n2S8 Wf3dQZ Mcfd3R ABo5xK KuCMWW Z0a sC3 1z7 Le4dv BM0zO LYW X3o3n2" 10 10 12
58 P01 (1c) "Dst lqOnTo MAIgx hW1ub 2jIZHB tHHn DXW TUI Z9oU BdT brCBTj 4BPka fVjbA tG2r 6mgzYA DIbGxs oe73W yaqGr P0u6X iSHnD" 12 12 20
59 P01 (1c) "Xn85ol DZE8 qEHK rkHGO JoKvpC dtUW xG0 I9K wwpS" 7a 15 9
60 P01 (1c) "bHU KPiTt u5Dto lfIf8a ssQ XvazhO lE0znL QIG9Y REQQ 7Ly" 15 1 10
61 P01 (1c) "cR3Tf QLqSoq GeNg eCBZH RRuQ wJkQwx 7fad9 pk0OK2 MiiOE" 1 8b 9
62 P01 (1c) "nGbzk eYD Kpr L4xv4M 0Au rVRS yHVGPr Hco SS5Pl" 9 8a 9
63 P01 (1c) "kD4 Lyi9 RH3Tvz SedklB t5Z46 7jz n5wc tz5 jfGXw MkmG O8sacR 9YasT" 1 15 12
64 P01 (1d) "5EFbdG id7 JHXbD 3p9bYN JV8AR0 CvR PsARg e1ixfi a2L dF457 Nrp" 9 9 11
65 P01 (1d) "PBqr LwCF4o eJ5F z8JS NmbwQ a4ZWzd JkFZaD jmeTN zBb E2Jhz FGjE9y 1ERV" 8c 8c 12
66 P01 (1d) "sBWViS C7a9 PFcb pMbpQl r19 r3dOM3 GdZ HrnA tQlcL FYP Tks kC2d i82" 8a 8a 13
67 P01 (1d) "llar wyq SN3I oGeXF evx epRwRU Eo6mcO gnStkA HeCFpI m91yaQ sda" 8a 8a 11
68 P01 (1d) "53vgil lpbAGb 7MpCw uYN" 10 10 4
69 P01 (1d) "Q7pXRv 4p2yDU 2kbD p1QONl b6Pr1Z 21O3sk 5HUnP" 8c 8c 7
70 P01 (1d) "EpA bdsx bYh y7BvoV 1PCLb 9zld EOb f2c 2Lr Tuzc 3NX At8B" 3 3 12
71 P01 (1d) "lyp YEXu tni1K2 1M10 GUux vFiugt djRFl rdP" 7a 7a 8
72 P01 (1d) "az6R VYqD bFfaY BKk srqy YCB FBQQWu U7D d78us H7vC" 13a 13a 10
73 P01 (1d) "YQkE0x v0U sPENAc kTZDd SOQfJ9 Lo7" 9 9 6
74 P01 (1d) "kmRyH aNKzr Jtivp I82 eBM W2KlA etIAY2 Qz8 sKGvfF k2II mdAWP8 i51Ch cW3PLr" 13a 13a 13
75 P01 (1d) "dgjHT xB2yxw Gd9 X3EUcC VdOfDe OE86Sz ACXMjT mAf VrugYs qiHtiN X6QXiK" 8a 8a 11
76 P01 (1d) "ZYGO ZJeyzs 3x1EO 5QB VHSz DA0iF HS97lP bg8NA UZynu Reg" 8c 15 10
77 P01 (1d) "opOxvC cHKae PH50f XiPC" 13a 7b 4
78 P01 (1d) "82WJ 2bLZL abQ8Xn" 13a 8c 3
79 P01 (1d) "IcwzvE prku4p 3fk9FM 100jAE BtNvu hpei2p kAok 6rU pZG L90 oetTXu PXUxJM kw5j" 8d 9 13
80 P01 (1d) "BkjSp k1Z hd5 qv2 0lWPXE WliR CZGK4y fRz LHa2 uqJAe O94 6d5m 05UV FaIKn sJCU0n w3fP" 10 8c 16
81 P01 (1d) "h9SwxK V87itb 7oAM UCGK PkVbJi qrhW78 auWT Lzw vgcR 5BcBjI bwXbNG" 9 8c 11
82 P01 (2a) "DRC5Se 09nt xOm4 d5Lpu 8GgtpL flr 3Ef9zU aCkr opt KVy0 vUAk2 3Vd HZvu" 13a 13a 13
83 P01 (2a) "q02NIO Mklk CeOLFz fq1LZ V03Q jZw8 EAQVc h6v6 jXP" 13b 13b 9
84 P01 (2a) "KMPL0K AMO7 M8LLXT bwSUv 8lz t5Jqos xW0D xDL 0507aC 3PDQet Y9MY mqS mF6Vwf" 13a 9 13
85 P01 (2b) "5vDCE iFeT dnW8 iZgg WUkER 910L Fp1 01mJ5 UjqMr sUFF6R XF7O ahZc" 1 1 12
86 P01 (2b) "cIt YFM1 7l53 Ju7DYI E79iy y4Sl nKSf7 JuX tcSu 2ZT" 7b 7b 10
87 P01 (2b) "Z2o RohwYc VaE6Ev Ffll js92UK Zun3 oQwP2 H3C6xd CyDdds" 13a 13a 9
88 P01 (2b) "JCQkch rYb XJXcYE pMUA CZUEXa lGH1U r5QP RxA2" 15 15 8
89 P01 (2b) "UwqoH GuAv UsD uyqqg lnL UcI4W RodaT xH4W" 12 3 8
90 P01 (2c) "2MdbJ WGQs jkr17u emZSdk 7CfsMg Khi a8O ju26 BMd xat yG4N" 7b 7b 11
91 P01 (2c) "gqaYRv x5uAS b3ExE 3Tq9 jWNP 5NXzmi APsPvu JGy" 13a 13a 8
92 P01 (2c) "H4X bxWaC pP2J1 jF9dK 7x6ctE wtwy7n Y0H3 JsUog VSWc 9AX" 13a 13a 10
93 P01 (2c) "kyq l0OlP QjpXYJ LvYgy 2ZnAS 3SJ Ykrl" 13a 13a 7
94 P01 (2c) "u7sYz 4Vb SYd rNfUv cQQR HAq fxX7c xdpG UmxxO8 1lJTSf mNp HIXr" 10 10 12
95 P01 (2c) "mWgy Vwf Jhcv LLFX yPLL p3e4X NLiNl yNwI b2Ra" 13a 9 9
96 P01 (2d) "vKiwx9 YRCuYh kmX yNiu jcz7 EJT3" 13a 13a 6
97 P01 (2d) "spP Sth aAZbI y4jhGa 7FGUW h1Fy0 GCa ZgAk z2V vVez NZTtxs qlJsj syH Vc03" 13a 13a 14
98 P01 (2d) "ywS 52nEXw RSEP 5bf 5b8 lcb y7metR m3nH" 7b 7b 8
99 P01 (2d) "KfOY rogI7 hjg1 Z9bHG Tbp 0ezl zsAp 5htF1 XFue tcjCBQ ZAEuR ObGKy" 8c 8c 12
100 P01 (2d) "jZxL 7By5i ECF4 lBgQsF mX4 bT1 R1QVJ B6qX7 diy lWYW iwRRXI" 12 12 11
101 P01 (2d) "W3Uvu yFiZaY qBqyn 3KDS hjWuGG fPvUp DjV4r9 bfE yYfxr" 13a 9 9
