Proefpersoon Instructie_Code Segmenten_Sophia Perspective_Sophia Perspective_Jael Segmenten_Jael
Transcript_P03 1a "AID1 mRP54F Gszb V2Spl GNFwCZ wbVNH OmQh oT7Je qCLm xe1zOU 5qxt3r" y y "AID1 mRP54F Gszb V2Spl GNFwCZ wbVNH OmQh oT7Je qCLm xe1zOU 5qxt3r"
Transcript_P03 1a "oLa0 ckV2 SbHP n1GIN M4P" n fill-up-for-keeping-same-rows NA
Transcript_P03 1a "4rMUEn qkJ9FB yWYP3 F2u98R XRt g7w6gW eDug V2L ZjBeZR sr2o B5xRVN UrEAc2 uf2r SjtyiH 4ct Udn DQeJC" y y "4rMUEn qkJ9FB yWYP3 F2u98R XRt g7w6gW eDug V2L ZjBeZR sr2o B5xRVN UrEAc2 uf2r SjtyiH 4ct Udn DQeJC"
Transcript_P03 1a "rZWE kGXvH yobx oQiWy 1YfmhN RJM QQsJ ikQ2 4pgaZI bJEx EEXwe hAd Pu36y9 BOC WtTup HWw nyL c9o wZZ" y y "rZWE kGXvH yobx oQiWy 1YfmhN RJM QQsJ ikQ2 4pgaZI bJEx EEXwe hAd Pu36y9 BOC WtTup HWw nyL c9o wZZ"
Transcript_P03 1a "pY5 TM7sv s1Qn JRkBVF 8PY b4n1v 14cZ eASAX z0Bz" y y "pY5 TM7sv s1Qn JRkBVF 8PY b4n1v 14cZ eASAX z0Bz"
Transcript_P03 1a "USVcbm xGOF NZUfyD BPPYd9 WHz neN Dkbj FX9I2G M3F Hdl" y y "USVcbm xGOF NZUfyD BPPYd9 WHz neN Dkbj FX9I2G M3F Hdl"
Transcript_P03 1a "YkU oMl 2Pc74T aGTa 5F5ze iUJmP wDnq sIKtV2 cy6S6I cpUcCM 1zby5 im8 J1Qh6k rSTv" y y "YkU oMl 2Pc74T aGTa 5F5ze iUJmP wDnq sIKtV2 cy6S6I cpUcCM 1zby5 im8 J1Qh6k rSTv"
Transcript_P03 1a "lRD izqJI GDE6f m5d3FO zoMU lYBmsu 0tW7 VlSgy VGhvy" y y "lRD izqJI GDE6f m5d3FO zoMU lYBmsu 0tW7 VlSgy VGhvy"
Transcript_P03 1a "BY9x 5PpeqQ IqfeqT 4Ly GV61 TaN bXE bMb SFZvWk PvoOEc Rb2f Aev2rQ lc6 kb5r I3L1wj wfwi2" n n "SW7T Ne0au dwad ly9ZL WgCWp4 DDiKVd ycbjSs chr ZqEs fV3Cy"
Transcript_P03 1a "pWW4 VxwsR pmK 6gtU4 UGWth n1T 53gH 8pph FHnN28 9PuFY 4KPI7D QYT" y y "pWW4 VxwsR pmK 6gtU4 UGWth n1T 53gH 8pph FHnN28 9PuFY 4KPI7D QYT"
Transcript_P03 1a "tvO Lz8jK cEvi fol rIS 4Dm u26 IxzapI AGn44A iMMs jAJ2u gXGojo Xtf z18 BDQ0 UIKw bWJ hOcP4N YIC0mP j6dj 8wtCY" y y "tvO Lz8jK cEvi fol rIS 4Dm u26 IxzapI AGn44A iMMs jAJ2u gXGojo Xtf z18 BDQ0 UIKw bWJ hOcP4N YIC0mP j6dj 8wtCY"
Transcript_P03 1a "WPTh ea4jvg xPoy7W PQBWE pUj1 wkh OFBY7 9RLFy6 gBk wkq bw2L BShG fMFe 9EOO thi Af8T5 2nv ki3" y y "WPTh ea4jvg xPoy7W PQBWE pUj1 wkh OFBY7 9RLFy6 gBk wkq bw2L BShG fMFe 9EOO thi Af8T5 2nv ki3"
Transcript_P03 1a "MvOhV h7NK F0b 4eHmQY M2AOUz lAw" y y "MvOhV h7NK F0b 4eHmQY M2AOUz lAw"
Transcript_P03 1a "fkGhU hb057F pETcvd ltko vKDL ykJst Phkx2 TJb d8O7I eyPmB IZ5S IOxm 7tN8c" y y "fkGhU hb057F pETcvd ltko vKDL ykJst Phkx2 TJb d8O7I eyPmB IZ5S IOxm 7tN8c"
Transcript_P03 1a "soT uAlc dSQF fNzzHt 06t S0yd" y y "soT uAlc dSQF fNzzHt 06t S0yd"
Transcript_P03 1a "EXOBph hX5K ISr OKHVar TPBL6 CMLX" y y "EXOBph hX5K ISr OKHVar TPBL6 CMLX"
Transcript_P03 1a "Cnc 1ChL" y y "Cnc 1ChL"
Transcript_P03 1a "17qO jHR Sral 0pN0oD 0Ewqua 71E HMQrr GvYuec PlL" y y "17qO jHR Sral 0pN0oD 0Ewqua 71E HMQrr GvYuec PlL"
Transcript_P03 1a "OCm uQG k70p Hvbl tdz uWr IJV tzAd 9PBHeF" y y "OCm uQG k70p Hvbl tdz uWr IJV tzAd 9PBHeF"
Transcript_P03 1a "5lp2VZ zZk6Iu v3Tbv gsr7 fFJEhl q79J graiX VLj nqhFS ijONX" y y "5lp2VZ zZk6Iu v3Tbv gsr7 fFJEhl q79J graiX VLj nqhFS ijONX"
Transcript_P03 1a "KoA quvQ 9ChI 9rmDM ofFWlF gZ6h Nii vVkMK grf 9M8O" y y "KoA quvQ 9ChI 9rmDM ofFWlF gZ6h Nii vVkMK grf 9M8O"
Transcript_P03 1b "m2ZxKa g9a CWnQ7 yMw tULtM0 lEn1 6ouRBD OVSQ4y 1sEa6p ZvD" y y "m2ZxKa g9a CWnQ7 yMw tULtM0 lEn1 6ouRBD OVSQ4y 1sEa6p ZvD"
Transcript_P03 1b NA fill-up-for-keeping-same-rows n "U4BrSe SOI JyO9TV Zrecb 7MY PW2L mkuohA VQ0 D6lDJL 0hcL0 P7z sUID xvajdn RVc0BP g0U Flterm"
Transcript_P03 1b "xX3m PE1 rAa Gj3g 31tV KHedsa o5Z WwfpDP 3a0gb qMsnN QiaM TaKc UahT" y y "xX3m PE1 rAa Gj3g 31tV KHedsa o5Z WwfpDP 3a0gb qMsnN QiaM TaKc UahT"
Transcript_P03 1b "vUKh 1Wk ZKQ GeBk 5nD0ng bLmPH 3q8D rCSqD0 s3NP96 sEgP Efcs WvRo9 UlSn hXZ3v FJZ3m Wnb hLtvW JP6 fb9u lur BCi Hxr zqpouD aAM 2O3Xug 8xc2Ms" n n "NRYO AdR p6Mrz bYckj pznLnh h8Q156 UDbK 9Wl sUun4 OZyf"
Transcript_P03 1b "LxS sZ03F 46YV f6UDM Y3i" y y "LxS sZ03F 46YV f6UDM Y3i"
Transcript_P03 1b "RrL K643 K1z 8QVa Pa4o nV2b uIS EtsXIO GhVa WVwj3o g5F2 NCrInO QA0ZqC" y y "RrL K643 K1z 8QVa Pa4o nV2b uIS EtsXIO GhVa WVwj3o g5F2 NCrInO QA0ZqC"
Transcript_P03 1c "nir jtj HcU gJhmI XO5I zpN y4rXH otRzuF 5345" y y "nir jtj HcU gJhmI XO5I zpN y4rXH otRzuF 5345"
Transcript_P03 1c "9ZCt c6r ol0OW dSbxt L8a7j" y y "9ZCt c6r ol0OW dSbxt L8a7j"
Transcript_P03 1c "80na gGW9v P4U DFTb5X HEpdqW CWbvB OH8bi nYMB YhorA O9JM 2QHMe vkG0JY VxDPh hQk3B NPSo E1oehK" y y "80na gGW9v P4U DFTb5X HEpdqW CWbvB OH8bi nYMB YhorA O9JM 2QHMe vkG0JY VxDPh hQk3B NPSo E1oehK"
Transcript_P03 1c "lZQQ5 nx2g3U VXd pagd ilLrHP LT9I F2D KuBjQg yY8bR hyXYuf 65s9i" y y "lZQQ5 nx2g3U VXd pagd ilLrHP LT9I F2D KuBjQg yY8bR hyXYuf 65s9i"
Transcript_P03 1c "PtcFC cB9K SMqV IaxZ mDg PV5ti JCST uZi oXODXh hWf rz3O 249PLg E0f9 G5tpc vZpHj WYsG DFoW SAu4Z AD0wY BFwLJ I3CuF Q6j 253m QsDelk 36p HFMh uSW7Ia gHZ2 NJR9OG bI49 eyrUQv ZZV kniDSV Wanj" n n "t7gV epOz9e ydcl qUS 15pfm 3bR GPD PU5K q1IfG GY3J5q g5s kiK"
Transcript_P03 1c "ie7 Bob5m 6FScOB Xg1x sfMScZ w7n QaF1t D7a QC2G S29 SevbDO K6Au x2uxHw DDtmt" y y "ie7 Bob5m 6FScOB Xg1x sfMScZ w7n QaF1t D7a QC2G S29 SevbDO K6Au x2uxHw DDtmt"
Transcript_P03 1c "WjIBQ EIW7 6Sr 1ZXZ 1Y71 sg6E6T KrViqz OTKS dZO" y y "WjIBQ EIW7 6Sr 1ZXZ 1Y71 sg6E6T KrViqz OTKS dZO"
Transcript_P03 1c "Gf9c Wa8r gsai RIX0gg 2I4Dun fYIo fEh PAmSG 2xERk1 KwM GtTy GDU tDIJO A7TL" y y "Gf9c Wa8r gsai RIX0gg 2I4Dun fYIo fEh PAmSG 2xERk1 KwM GtTy GDU tDIJO A7TL"
Transcript_P03 1c "CJMvgu VjFz9 39qbx U92W MazfR JV4 smc V93z RNJBEI BFeIyG" y y "CJMvgu VjFz9 39qbx U92W MazfR JV4 smc V93z RNJBEI BFeIyG"
Transcript_P03 1c NA fill-up-for-keeping-same-rows n "BwbDd u6Ti RL4lR Tmnjty 56r xBeD3 1oh iUGRLc"
Transcript_P03 2a "6Ekwv ZVfsXw 9Evbl5 Nj1pnK OpW1 dBiSt9 SDNCfv ARgKqj Vgbb qvo X8l AdQH exEF WKeFOG SAl p7BT rwVxjK sbq KRC1 b4n ezA" n n "tLr YiUeaY sETYX 691 GQID X3mI qZy0wa j9iWU cEa KaR 8OGj 5W8 GSsiX JhOl x5Dp gN8gQY tmK HRLXa5 ciu unQl ow1Z3 e5P TRX bKaHMZ 7egjpn qaRNkW GJehf"
Transcript_P03 2a "fMaH l2CKo iPkV1 lp4gD xQDP lPWof 04I" y y "fMaH l2CKo iPkV1 lp4gD xQDP lPWof 04I"
Transcript_P03 2a "5ZN QO9Xyi LxeJ 9DFH 8OMFp vAG9G" n fill-up-for-keeping-same-rows NA
Transcript_P03 2a NA fill-up-for-keeping-same-rows n "fNZWTu BMzq0 Rojq AHExp VJ6 bWZQJ chlL4H OMa LPQL"
Transcript_P03 2a "NHOrR Kol5 1xOnh Ee0RlV tuR1y6 a9Az sPPy2 GTdaQn KoeR nYt lD8ITK rXQKY 3sMjI Pn2" y y "NHOrR Kol5 1xOnh Ee0RlV tuR1y6 a9Az sPPy2 GTdaQn KoeR nYt lD8ITK rXQKY 3sMjI Pn2"
Transcript_P03 2a "oai hLmf62 9QD gwYbkb DE0Di fTp a15B Axd ggVo 6Xlxy iVNvK n3PK cUulQH cmi fPDLg" y y "oai hLmf62 9QD gwYbkb DE0Di fTp a15B Axd ggVo 6Xlxy iVNvK n3PK cUulQH cmi fPDLg"
Transcript_P03 2a "k6gx aVUV iy6 hoUrv V9SC oVr KqE 3pQBi 0GE rTN did N0lz 978S lVxnFd" n n "g2G vK3In ddo ZVYZ dw9DSP iTHJ5x J6cwVO"
Transcript_P03 2b "C0E j9Qte7 3drLdj 7JaTwv t9i qNSUv KiFxA 4efK 4WPhu" y y "C0E j9Qte7 3drLdj 7JaTwv t9i qNSUv KiFxA 4efK 4WPhu"
Transcript_P03 2b NA fill-up-for-keeping-same-rows n "6z1 lIz9zj gU7CR 7WsI 6qxgQZ CrT wpq 7mi c47"
Transcript_P03 2b "8I7 0dW1 7B6 GHnXW ETvL WA4kO G7yo 0N77a cv8c tQSggy kAd" y y "8I7 0dW1 7B6 GHnXW ETvL WA4kO G7yo 0N77a cv8c tQSggy kAd"
Transcript_P03 2b "Js9Zrg fbNBr XbTy xGFxx HPNtJ MHs hRnmO1 pJo LFCf 0VI6 L85n7 EUK pap dEoOq2 BBLPW" y y "Js9Zrg fbNBr XbTy xGFxx HPNtJ MHs hRnmO1 pJo LFCf 0VI6 L85n7 EUK pap dEoOq2 BBLPW"
Transcript_P03 2b "9j8R 8Wvc oHc9i hlU3f ehxuNT QbcW6 ktoP SWzkao lfNl64 pss y7A" y y "9j8R 8Wvc oHc9i hlU3f ehxuNT QbcW6 ktoP SWzkao lfNl64 pss y7A"
Transcript_P03 2c "BjFj9o uYApH psq AWS ti5AS 00gx 7nIvJ Z1N" y y "BjFj9o uYApH psq AWS ti5AS 00gx 7nIvJ Z1N"
Transcript_P03 2c "AbjgEC 3FEh bE50T EwEIBx ysu cvzp 0l8 5KqQ" y y "AbjgEC 3FEh bE50T EwEIBx ysu cvzp 0l8 5KqQ"
Transcript_P03 2c "AT8Y BQ4 CkTKDC cgQ0UO s7M Hzl3D ZhtP mHD qmLHKd qVMOM Vo6V UP57U 7CCVa GDoxD by2G5 tr0yVa 3Trr A6jVUC" y y "AT8Y BQ4 CkTKDC cgQ0UO s7M Hzl3D ZhtP mHD qmLHKd qVMOM Vo6V UP57U 7CCVa GDoxD by2G5 tr0yVa 3Trr A6jVUC"
Transcript_P03 2c "1Zw V0cq qA4icP N2jF tXW9n2 Hcl X9gzjK 9KsA wRehrA VbF lnyOFY" y y "1Zw V0cq qA4icP N2jF tXW9n2 Hcl X9gzjK 9KsA wRehrA VbF lnyOFY"
Transcript_P03 2c "HQtZf svbq zKGSbJ deytB rgJRt" y y "HQtZf svbq zKGSbJ deytB rgJRt"
Transcript_P03 2c "f9hwp LLJ1 cmg1 5yTdaF cdVu DaW lO1seC QEZY xTdKOw UCxW 7FzV" y y "f9hwp LLJ1 cmg1 5yTdaF cdVu DaW lO1seC QEZY xTdKOw UCxW 7FzV"
