No. Proefpersoon Instructie_Code New_Segment Code
1 P01 (1a) "j7Q f9eb 3g7 79R 6eK483 0JO vNuh85" 4
2 P01 (1a) "n70M81 kns fzwTZn hV6" 9
3 P01 (1a) "JSC Wgahe jjJM38 bjEdP pHcVlz NSaac" 7a
4 P01 (1a) "hAa KIS GJjs VI4E udZ pG7P vCkZ bXAy4" 13a
5 P01 (1a) "rFyxam 9Hf nB1 zvAlP UVmRoL naZgro hvz l1I3 vRbXx sEaZ TinzDI GsI6WK XOR QQqLzo Pi75 vxQpB 7GWUG kZj 241YrR LsoL8 AakCyj 0TUWcN ruV9B" 13a
6 P01 (1a) "MZAJ1 bnsgch oZH BnjFi5 TIJ Qy4yk ULAv CS85y BpbM rEq iH5dF" 13a
7 P01 (1a) "TaWTb nbXC kFR JZxa isSw9 kj0n0 tiEjQ CoNbD sP4lRA imCIx4 JEHa" 8a
8 P01 (1a) "ClnI8d AJU3z hlkUi4 j3G4RE 8Lywws hP4SX NttjGz TiK xCCzd U6fj Mclc x482Y4 PyWV" 13b
9 P01 (1a) "GKH6 Q7Fah" 15
10 P01 (1a) "5Z4 PXpW9G tCKznx vPwU P3Sl h1R pgDT yY2 9nKiRE upbvdE wd3F FD8" 13a
11 P01 (1a) "xIwgbX kH2 CEWuY 0ry1 Kuzj bZ0g0 V2Gqt" 13a
12 P01 (1a) "TI0Vc RIB NMA KJoWv9 4FDO32 v5ZofA" 13b
13 P01 (1a) "cGz 2iY qcUu CO4uvl Mbs L9QYX m4T1 YjL rHTFc" 13a
14 P01 (1a) "plH7M d3TZx8 hZAl Zgd WeZwIG hZHy wV31o7 DhgIH4 3ERfoy RIi 9gbrL EMbp XpBE8 woUK" 8d
15 P01 (1a) "Q7F CCx s09 bSF 0LrX I0GJ8V aqSgm Wof O6i WDHbYz D4HYNX" 15
16 P01 (1a) "jyDA kHg 2M8s wekc B81v Zd8xDq Q1so O8L JFrO cHi VVrjfj QpP 82RQhW rbcT6K" 15
17 P01 (1b) "CWD1DM xc2 Jvb7x 7Qi4 pIkDJ2 mILi IX8D 7Hby ibWtl Wmu xgQhCU MWZ fHpCG2" 10a
18 P01 (1b) "F0L0J pmuMG zOIVuA vVf wNGJmi Q56ho5 mTZ jGx0 Bqf" 13b
19 P01 (1b) "rnZJE o60 1Vu 6KXi nuI vfK XuG NLVg kx0BNh mHF MwZ Rgr5 vPC6 BQ2F0b hlo3p DvU1b5 yGv" 10a
