Experiment Participant_ID Condition Trial Zone_Name Response Word_Count Correct_Points Element_Number Commission Omission
1 NA DiagramFeedback Beton DiagBox1 "2WaH bHaB7 n5iA 39X" 4 1 4 0 0
1 NA DiagramFeedback Beton DiagBox1 "TGX L1K g6XYMc N1t rWqXRD pK74l wozml" 7 0 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "Kr5Sx IQn ld7 jNk8j3 gul 074F bvNF4L VAMk r03 XTN iyG" 11 2 2 0 0
1 NA DiagramFeedback Beton DiagBox1 "VF2 ab7k awGGw Oh3jv Npl 0eY2Rx Cmd Qitc LvPumh FZfv xe05 Bb8w" 12 1 1 1 0
1 NA DiagramFeedback Beton DiagBox1 "ctZC az7APZ 7K4rn l15ET 6xi5" 5 0 1 1 0
1 NA DiagramFeedback Beton DiagBox1 "SHa6T aHlkrH JlS8Gb 4kcm qGc3x6 AN2cYj iGziTC ynPt3" 8 0 4 0 0
1 NA DiagramFeedback Beton DiagBox1 "B19qom ZgoR PV6YS iDqUd9" 4 1 2 0 0
1 NA DiagramFeedback Beton DiagBox1 "4j1KT RGk 9lmO6 TdYn" 4 1 5 0 0
1 NA DiagramFeedback Beton DiagBox1 "V7gY nEGUG McB3H kX6T SQxu7s weP8 GwZ9jx n041 emNE STr TIyKo kRV qLoq zZi cQQ1GU vFIMsO" 16 1 4 0 0
1 NA DiagramFeedback Beton DiagBox1 "4RIDbq WtUjxd bOyRG hYjF3 eAM fNg EhLCAG NA2nD WqzY vAC" 10 0 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "nZYL DqhQW vD6ey yN9rJZ LRL n1b" 6 0 3 1 0
1 NA DiagramFeedback Beton DiagBox1 "Un9 Y5d Nap HGDHpW TSWz ORT 7rDi0 wHI xOVym" 9 0 2 0 0
1 NA DiagramFeedback Beton DiagBox1 "3TKcZ z3cZ cuR T7PMB" 4 0 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "X86 BZF D2Kgr iKZFt E1nyV" 5 1 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "PIF41 Y4r 9cogf qPl pjF B7jQX FfWeA azhX QtdrJ" 9 1 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "nTvG L0S6Qm R90A fixKW 6ja" 5 0 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "dO1lV PT31W zGhQK 6Nmm4 iGaC Gwu3RK pjf Yu9" 8 0 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 "6BLL9 KmXSP k0oaIj Zn3D 0H9P" 5 1 NA 0 0
1 NA DiagramFeedback Beton DiagBox1 ? 0 0 NA 0 1
1 NA DiagramFeedback Beton DiagBox2 "6TouV9 fPGE EbEK efPLUM mrqf Nk97zW 7FU QH82 8AgXSB 3u9GZ 9uvq gbl3 gARR T5nqxY" 14 1 2 0 0
1 NA DiagramFeedback Beton DiagBox2 "Fa7 PyU VjM aDNJY 8ZjfWT EYQui PmJp" 7 1 2 1 0
1 NA DiagramFeedback Beton DiagBox2 "8zx vjfw akbbYP hR4rv Hgfex zYHcP BaehL q6h7Ti" 8 1 5 0 0
1 NA DiagramFeedback Beton DiagBox2 "yEJ2Nb gyj LvNH7g rArg TuNWP 61B wZWab UHDRtS" 8 1 NA 0 0
1 NA DiagramFeedback Beton DiagBox2 "qbG9hO Cw5 HPck jiZ2r d9le rt2yCj Gs1Cw" 7 1 2 0 1
