Participant_ID Trial Position Response Word_Count Correct_Coder_1 Element_Number_Coder_1 Commission_Coder_1 Correct_Coder_2 Element_Number_Coder_2 Commission_Coder_2
398247 Suez DiagBox2 "2yxXy 399 j8yXt1 vUf mFgxqf w0Q" 6 2 2&5 2 2 2&5 2
398247 Suez DiagBox4 "1wmFJ z0YU92 lRv6 s9xa Tcs" 5 2 2&5 2 2 2&5 2
2378712 Suez DiagBox1 "ORzW NMA83 ksT nGN" 4 2 2&5 2 2 2&5 2
2378712 Suez DiagBox2 "TZ4cV xe8 v0k4b p0l 2Xoy jg1U1V xghGp phNig 7hRCrN A5e93" 10 2 2&5 2 2 2&5 2
2378712 Suez DiagBox3 "IS7Osc cryA UqU4D i80Wuf f6aBrE OAZ7u NHUb 8eCZVM 45xhrz GnxVj 1ms mrnBSp e6A uOaPw Al6D" 15 2 2&5 2 2 2&5 2
2378712 Suez DiagBox4 "bj3ho MrL zNa" 3 2 2&5 2 2 2&5 2
912969 Beton DiagBox3 "Uyuc uG8XMZ xsp FjbdP SAl26 vDviR1 dvlnQ jDM M5jup NKjpdj HWWxop Uoa" 12 2 2&5 2 2 2&5 2
912969 Beton DiagBox4 ? 0 2 2&5 2 2 2&5 2
9114039 Beton DiagBox1 ? 0 2 2&5 2 2 2&5 2
9114039 Beton DiagBox2 "DTDC34 tL8ew SqwhFI 8Yk6 0f8 WEZ1nx VlErEH" 7 2 2&5 2 2 2&5 2
9114039 Beton DiagBox3 "ufTjjq T9Q jUttK AMWV FaJ8" 5 2 2&5 2 2 2&5 2
4103412 Botox DiagBox1 "HXikUd V4QDw LWXpzD" 3 2 2&5 2 2 2&5 2
4103412 Botox DiagBox3 "IeY wJ6PB Rwtmt euzBU2" 4 2 2&5 2 2 2&5 2
4103412 Botox DiagBox4 "n7dWJB y3XrN n0N4m0 GTqLPO g14Q80 jvvW N746n Gtcjv nHxGqG qPT" 10 2 2&5 2 2 2&5 2
3448994 Beton DiagBox1 "FZVs UXMb v41y l3S25 kXnplW bYB 2D9E9 m6Lu R9Sj yzHE dXZgg" 11 2 2&5 2 2 2&5 2
3448994 Beton DiagBox2 "hUZ nt9q vK7eBH Chn qndSE 9Xjq9 2mn1L SBmeOh X3O JV0G pGBg3 UvRfrB p9fS2 4KS dFlG" 15 2 2&5 2 2 2&5 2
3448994 Beton DiagBox3 "aKp4 h1zsdH bja n7ZacG KvEnR jhh56i BNJH GRhF8 yWS XpMNzJ 2uJ" 11 2 2&5 2 2 2&5 2
3448994 Beton DiagBox4 "Nhn msga ZeovB QtDYDt 4V52pJ 1UX nQx Mou5ge xQ4 Mlbk 6fmc" 11 2 2&5 2 2 2&5 2
3448994 Suez DiagBox1 "ID8 cel OX5e Jot" 4 2 2&5 2 2 2&5 2
3448994 Suez DiagBox2 "jrRtjM RsuP1" 2 2 2&5 2 2 2&5 2
898646 Botox DiagBox1 "fhaA ivN sLLo20 it4cU kfxBx GJa 8Cko NWDY 57OJU" 9 2 2&5 2 2 2&5 2
898646 Botox DiagBox3 "Zt54 2s6xb 9ijw QSbC4d Kavq FAy Zwm12Q CoG qf7" 9 2 2&5 2 2 2&5 2
7806704 Geld DiagBox2 "Dnvi9R RL8G cdEEOB Pkjj bEQ" 5 2 2&5 2 2 2&5 2
7806704 Geld DiagBox3 "6InXW YlmtJ 87yIF PZw7W diiUm 0Yt6 KYJ 7Js0 s0L" 9 2 2&5 2 2 2&5 2
7806704 Muziek DiagBox1 "Tx9C NYq 1OG1 5jY 7okx D3k QFZ el8PJW Vk6kH elF" 10 2 2&5 2 2 2&5 2
8141212 Botox DiagBox1 "eEVWSF tHy pYcP NNv2p z1Bj UOu Sjo DOx4" 8 2 2&5 2 2 2&5 2
8141212 Botox DiagBox3 ? 0 2 2&5 2 2 2&5 2
